"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","194.132.197.178","TCP","72","55157  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=6220 Len=18"
"2","0.000364","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=1 Ack=19 Win=2640 Len=0"
"3","0.302336","10.152.152.11","194.132.197.178","TCP","72","55157  >  4070 [PSH, ACK] Seq=19 Ack=1 Win=6220 Len=18"
"4","0.302564","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=1 Ack=37 Win=2640 Len=0"
"5","0.600809","194.132.197.178","10.152.152.11","TCP","552","4070  >  55157 [PSH, ACK] Seq=1 Ack=37 Win=2640 Len=498"
"6","0.600809","10.152.152.11","194.132.197.178","TCP","54","55157  >  4070 [ACK] Seq=37 Ack=499 Win=6220 Len=0"
"7","0.761721","194.132.197.178","10.152.152.11","TCP","1514","4070  >  55157 [ACK] Seq=499 Ack=37 Win=2640 Len=1460"
"8","0.761798","10.152.152.11","194.132.197.178","TCP","54","55157  >  4070 [ACK] Seq=37 Ack=1959 Win=6220 Len=0"
"9","0.761818","194.132.197.178","10.152.152.11","TCP","603","4070  >  55157 [PSH, ACK] Seq=1959 Ack=37 Win=2640 Len=549"
"10","0.761823","10.152.152.11","194.132.197.178","TCP","54","55157  >  4070 [ACK] Seq=37 Ack=2508 Win=6220 Len=0"
"11","0.838358","10.152.152.11","194.132.197.178","TCP","93","55157  >  4070 [PSH, ACK] Seq=37 Ack=2508 Win=6220 Len=39"
"12","0.839176","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=2508 Ack=76 Win=2640 Len=0"
"13","4.738491","10.152.152.11","194.132.197.178","TCP","446","55157  >  4070 [PSH, ACK] Seq=76 Ack=2508 Win=6220 Len=392"
"14","4.739968","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=2508 Ack=468 Win=2640 Len=0"
"15","5.084392","10.152.152.11","10.152.152.10","DNS","94","Standard query 0xb99d A heads-ak.spotify.com.edgesuite.net"
"16","5.098919","10.152.152.11","194.132.197.178","TCP","110","55157  >  4070 [PSH, ACK] Seq=468 Ack=2508 Win=6220 Len=56"
"17","5.100251","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=2508 Ack=524 Win=2640 Len=0"
"18","5.381524","10.152.152.10","10.152.152.11","DNS","110","Standard query response 0xb99d A heads-ak.spotify.com.edgesuite.net A 80.239.178.40"
"19","5.387252","10.152.152.11","80.239.178.40","TCP","66","57943  >  80 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"20","5.387972","80.239.178.40","10.152.152.11","TCP","66","80  >  57943 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"21","5.388002","10.152.152.11","80.239.178.40","TCP","54","57943  >  80 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"22","5.391201","10.152.152.11","80.239.178.40","HTTP","286","GET /head/d7ca96670924922b7ffaf07ae336470f285e475b HTTP/1.1 "
"23","5.392288","80.239.178.40","10.152.152.11","TCP","60","80  >  57943 [ACK] Seq=1 Ack=233 Win=15680 Len=0"
"24","5.518677","10.152.152.11","194.132.197.178","TCP","258","55157  >  4070 [PSH, ACK] Seq=524 Ack=2508 Win=6220 Len=204"
"25","5.519283","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=2508 Ack=728 Win=2640 Len=0"
"26","5.539375","194.132.197.178","10.152.152.11","TCP","105","4070  >  55157 [PSH, ACK] Seq=2508 Ack=728 Win=2640 Len=51"
"27","5.539397","10.152.152.11","194.132.197.178","TCP","54","55157  >  4070 [ACK] Seq=728 Ack=2559 Win=6220 Len=0"
"28","6.328802","10.152.152.11","194.132.197.178","TCP","103","55157  >  4070 [PSH, ACK] Seq=728 Ack=2559 Win=6220 Len=49"
"29","6.351084","80.239.178.40","10.152.152.11","TCP","1514","80  >  57943 [ACK] Seq=1 Ack=233 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"30","6.351109","10.152.152.11","80.239.178.40","TCP","54","57943  >  80 [ACK] Seq=233 Ack=1461 Win=17520 Len=0"
"31","6.351372","80.239.178.40","10.152.152.11","TCP","1514","80  >  57943 [ACK] Seq=1461 Ack=233 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"32","6.351377","10.152.152.11","80.239.178.40","TCP","54","57943  >  80 [ACK] Seq=233 Ack=2921 Win=20448 Len=0"
"33","6.351390","80.239.178.40","10.152.152.11","TCP","620","80  >  57943 [PSH, ACK] Seq=2921 Ack=233 Win=15680 Len=566 [TCP segment of a reassembled PDU]"
"34","6.351393","10.152.152.11","80.239.178.40","TCP","54","57943  >  80 [ACK] Seq=233 Ack=3487 Win=23360 Len=0"
"35","6.368009","194.132.197.178","10.152.152.11","TCP","60","4070  >  55157 [ACK] Seq=2559 Ack=777 Win=2640 Len=0"
