"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","173.194.65.113","TCP","54","50575  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"2","0.001096","173.194.65.113","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  50575 [ACK] Seq=1 Ack=2 Win=1896 Len=0"
"3","1.649417","10.152.152.11","173.194.65.106","TCP","54","40777  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"4","1.649942","173.194.65.106","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  40777 [ACK] Seq=1 Ack=2 Win=1650 Len=0"
"5","3.155013","10.152.152.11","173.194.65.94","TCP","54","60160  >  443 [ACK] Seq=1 Ack=1 Win=2008 Len=0"
"6","3.155684","173.194.65.94","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  60160 [ACK] Seq=1 Ack=2 Win=1114 Len=0"
"7","3.954994","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"8","3.955698","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"9","3.957108","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1 Ack=678 Win=1896 Len=0"
"10","3.957161","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1 Ack=747 Win=1896 Len=0"
"11","4.061530","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"12","4.062155","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1 Ack=1424 Win=2063 Len=0"
"13","4.138574","10.152.152.11","173.194.65.139","TCP","54","35944  >  443 [ACK] Seq=1 Ack=1 Win=2190 Len=0"
"14","4.138948","173.194.65.139","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  35944 [ACK] Seq=1 Ack=2 Win=1114 Len=0"
"15","4.144898","74.125.136.94","10.152.152.11","TLSv1.1","123","Application Data"
"16","4.164943","10.152.152.11","74.125.136.94","TLSv1.1","715","Application Data"
"17","4.165663","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=70 Ack=2085 Win=2229 Len=0"
"18","4.304710","74.125.136.94","10.152.152.11","TLSv1.1","581","Application Data, Application Data, Application Data"
"19","4.305839","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"20","4.306716","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=597 Ack=2154 Win=2229 Len=0"
"21","4.337384","74.125.136.94","10.152.152.11","TLSv1.1","485","Application Data, Application Data, Application Data"
"22","4.338030","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"23","4.377199","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1028 Ack=2223 Win=2229 Len=0"
"24","4.402001","10.152.152.11","74.125.136.147","TCP","54","42360  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"25","4.403056","74.125.136.147","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  42360 [ACK] Seq=1 Ack=2 Win=1918 Len=0"
"26","4.403646","10.152.152.11","74.125.136.94","TLSv1.1","747","Application Data"
"27","4.403768","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1028 Ack=2916 Win=2396 Len=0"
"28","4.475973","74.125.136.94","10.152.152.11","TLSv1.1","549","Application Data, Application Data, Application Data"
"29","4.477064","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"30","4.477641","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1523 Ack=2985 Win=2396 Len=0"
"31","4.563483","10.152.152.11","173.194.65.105","TCP","54","54452  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"32","4.564212","173.194.65.105","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  54452 [ACK] Seq=1 Ack=2 Win=1382 Len=0"
"33","4.634514","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"34","4.635529","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1523 Ack=3662 Win=2562 Len=0"
"35","4.698065","74.125.136.94","10.152.152.11","TLSv1.1","517","Application Data, Application Data, Application Data"
"36","4.700011","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"37","4.701964","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=1986 Ack=3731 Win=2562 Len=0"
"38","4.738188","10.152.152.11","173.194.44.51","TCP","54","57717  >  443 [ACK] Seq=1 Ack=1 Win=5342 Len=0"
"39","4.738288","173.194.44.51","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  57717 [ACK] Seq=1 Ack=2 Win=2640 Len=0"
"40","4.896856","74.125.136.94","10.152.152.11","TLSv1.1","533","Application Data, Application Data, Application Data"
"41","4.897571","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"42","4.897925","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=2465 Ack=3800 Win=2562 Len=0"
"43","4.954284","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"44","4.955328","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=2465 Ack=4477 Win=2640 Len=0"
"45","4.972521","10.152.152.11","10.152.152.10","DNS","83","Standard query 0xf205 A safebrowsing.google.com"
"46","5.090318","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"47","5.129129","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=2465 Ack=5154 Win=2640 Len=0"
"48","5.189157","74.125.136.94","10.152.152.11","TLSv1.1","501","Application Data, Application Data, Application Data"
"49","5.190610","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"50","5.191345","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=2912 Ack=5223 Win=2640 Len=0"
"51","5.381245","10.152.152.10","10.152.152.11","DNS","99","Standard query response 0xf205 A safebrowsing.google.com A 173.194.65.136"
"52","5.381260","74.125.136.94","10.152.152.11","TLSv1.1","485","Application Data, Application Data, Application Data"
"53","5.381660","10.152.152.11","173.194.65.136","TCP","66","60219  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"54","5.383151","173.194.65.136","10.152.152.11","TCP","66","443  >  60219 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"55","5.383204","10.152.152.11","173.194.65.136","TCP","54","60219  >  443 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"56","5.383680","10.152.152.11","74.125.136.94","TLSv1.1","123","Application Data"
"57","5.385028","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=3343 Ack=5292 Win=2640 Len=0"
"58","5.385258","10.152.152.11","173.194.65.136","TLSv1.1","226","Client Hello"
"59","5.385897","173.194.65.136","10.152.152.11","TCP","60","443  >  60219 [ACK] Seq=1 Ack=173 Win=15680 Len=0"
"60","5.651510","173.194.65.136","10.152.152.11","TLSv1.1","1514","Server Hello"
"61","5.651534","10.152.152.11","173.194.65.136","TCP","54","60219  >  443 [ACK] Seq=173 Ack=1461 Win=17520 Len=0"
"62","5.651693","173.194.65.136","10.152.152.11","TCP","1514","443  >  60219 [ACK] Seq=1461 Ack=173 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"63","5.651700","10.152.152.11","173.194.65.136","TCP","54","60219  >  443 [ACK] Seq=173 Ack=2921 Win=20448 Len=0"
"64","5.651721","173.194.65.136","10.152.152.11","TCP","620","443  >  60219 [PSH, ACK] Seq=2921 Ack=173 Win=15680 Len=566 [TCP segment of a reassembled PDU]"
"65","5.651726","10.152.152.11","173.194.65.136","TCP","54","60219  >  443 [ACK] Seq=173 Ack=3487 Win=23360 Len=0"
"66","5.779824","173.194.65.136","10.152.152.11","TLSv1.1","1091","Certificate, Server Key Exchange, Server Hello Done"
"67","5.779845","10.152.152.11","173.194.65.136","TCP","54","60219  >  443 [ACK] Seq=173 Ack=4524 Win=26288 Len=0"
"68","5.793658","10.152.152.11","173.194.65.136","TLSv1.1","332","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"69","5.794715","173.194.65.136","10.152.152.11","TCP","60","443  >  60219 [ACK] Seq=4524 Ack=451 Win=16752 Len=0"
"70","5.830040","10.152.152.11","74.125.136.94","TLSv1.1","747","Application Data"
"71","5.830824","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=3343 Ack=5985 Win=2640 Len=0"
"72","5.847560","10.152.152.11","74.125.136.190","TCP","54","58665  >  443 [ACK] Seq=1 Ack=1 Win=2008 Len=0"
"73","5.847785","74.125.136.190","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  58665 [ACK] Seq=1 Ack=2 Win=1114 Len=0"
"74","6.002268","10.152.152.11","74.125.136.94","TLSv1.1","731","Application Data"
"75","6.003156","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=3343 Ack=6662 Win=2640 Len=0"
"76","6.115236","10.152.152.11","74.125.136.94","TLSv1.1","763","Application Data"
"77","6.116823","74.125.136.94","10.152.152.11","TCP","60","443  >  41876 [ACK] Seq=3343 Ack=7371 Win=2640 Len=0"
