"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","5.9.28.6","TCP","219","49655  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=4999 Len=165 [TCP segment of a reassembled PDU]"
"2","0.000496","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=1 Ack=166 Win=2640 Len=0"
"3","0.265233","5.9.28.6","10.152.152.11","TCP","299","5222  >  49655 [PSH, ACK] Seq=1 Ack=166 Win=2640 Len=245 [TCP segment of a reassembled PDU]"
"4","0.265325","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=166 Ack=246 Win=4999 Len=0"
"5","5.011117","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"6","5.011605","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"7","6.817159","10.152.152.11","5.9.28.6","TCP","715","49655  >  5222 [PSH, ACK] Seq=166 Ack=246 Win=4999 Len=661 [TCP segment of a reassembled PDU]"
"8","6.817375","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=246 Ack=827 Win=2640 Len=0"
"9","7.138599","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=246 Ack=827 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"10","7.138691","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=827 Ack=744 Win=4999 Len=0"
"11","7.251085","5.9.28.6","10.152.152.11","TCP","281","5222  >  49655 [PSH, ACK] Seq=744 Ack=827 Win=2640 Len=227 [TCP segment of a reassembled PDU]"
"12","7.251110","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=827 Ack=971 Win=4999 Len=0"
"13","22.713645","5.9.28.6","10.152.152.11","XMPP/XML","363","UNKNOWN PACKET "
"14","22.713679","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=827 Ack=1280 Win=4999 Len=0"
"15","31.490430","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=827 Ack=1280 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"16","31.490611","10.152.152.11","5.9.28.6","TCP","231","49655  >  5222 [PSH, ACK] Seq=2287 Ack=1280 Win=4999 Len=177 [TCP segment of a reassembled PDU]"
"17","31.490886","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=1280 Ack=2287 Win=2640 Len=0"
"18","31.491037","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=1280 Ack=2464 Win=2629 Len=0"
"19","31.825209","5.9.28.6","10.152.152.11","XMPP/XML","552","UNKNOWN PACKET "
"20","31.825312","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=2464 Ack=1778 Win=4999 Len=0"
"21","31.937424","5.9.28.6","10.152.152.11","TCP","297","5222  >  49655 [PSH, ACK] Seq=1778 Ack=2464 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"22","31.937451","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=2464 Ack=2021 Win=4999 Len=0"
"23","45.699847","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=2021 Ack=2464 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"24","45.699881","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=2464 Ack=2519 Win=4999 Len=0"
"25","45.812122","5.9.28.6","10.152.152.11","TCP","489","5222  >  49655 [PSH, ACK] Seq=2519 Ack=2464 Win=2640 Len=435 [TCP segment of a reassembled PDU]"
"26","45.812149","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=2464 Ack=2954 Win=4999 Len=0"
"27","47.905802","10.152.152.11","5.9.28.6","TCP","1195","49655  >  5222 [PSH, ACK] Seq=2464 Ack=2954 Win=4999 Len=1141 [TCP segment of a reassembled PDU]"
"28","47.906297","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=2954 Ack=3605 Win=2640 Len=0"
"29","48.300526","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=2954 Ack=3605 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"30","48.300617","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=3605 Ack=3452 Win=4999 Len=0"
"31","48.365362","5.9.28.6","10.152.152.11","TCP","297","5222  >  49655 [PSH, ACK] Seq=3452 Ack=3605 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"32","48.365460","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=3605 Ack=3695 Win=4999 Len=0"
"33","52.466942","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=3695 Ack=3605 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"34","52.466976","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=3605 Ack=4193 Win=4999 Len=0"
"35","52.578863","5.9.28.6","10.152.152.11","TCP","489","5222  >  49655 [PSH, ACK] Seq=4193 Ack=3605 Win=2640 Len=435 [TCP segment of a reassembled PDU]"
"36","52.578936","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=3605 Ack=4628 Win=4999 Len=0"
"37","76.872134","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=3605 Ack=4628 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"38","76.872196","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=5065 Ack=4628 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"39","76.872240","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=6525 Ack=4628 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"40","76.872278","10.152.152.11","5.9.28.6","TCP","1247","49655  >  5222 [PSH, ACK] Seq=7985 Ack=4628 Win=4999 Len=1193 [TCP segment of a reassembled PDU]"
"41","76.872191","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=4628 Ack=5065 Win=2640 Len=0"
"42","76.872202","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=4628 Ack=6525 Win=2591 Len=0"
"43","76.872208","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=4628 Ack=7985 Win=2521 Len=0"
"44","76.872213","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=4628 Ack=9178 Win=2451 Len=0"
"45","93.271512","10.152.152.11","5.9.28.6","TCP","171","49655  >  5222 [PSH, ACK] Seq=9178 Ack=4628 Win=4999 Len=117 [TCP segment of a reassembled PDU]"
"46","93.271719","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=4628 Ack=9295 Win=2640 Len=0"
"47","93.511372","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=4628 Ack=9295 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"48","93.511476","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=9295 Ack=5126 Win=4999 Len=0"
"49","93.623584","5.9.28.6","10.152.152.11","TCP","393","5222  >  49655 [PSH, ACK] Seq=5126 Ack=9295 Win=2640 Len=339 [TCP segment of a reassembled PDU]"
"50","93.623616","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=9295 Ack=5465 Win=4999 Len=0"
"51","115.752140","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=9295 Ack=5465 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"52","115.752253","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=10755 Ack=5465 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"53","115.752338","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=12215 Ack=5465 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"54","115.752562","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=5465 Ack=10755 Win=2640 Len=0"
"55","115.752596","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=5465 Ack=12215 Win=2591 Len=0"
"56","115.752599","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=5465 Ack=13675 Win=2521 Len=0"
"57","115.752836","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=13675 Ack=5465 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"58","115.752926","10.152.152.11","5.9.28.6","TCP","779","49655  >  5222 [PSH, ACK] Seq=15135 Ack=5465 Win=4999 Len=725 [TCP segment of a reassembled PDU]"
"59","115.753124","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=5465 Ack=15135 Win=2640 Len=0"
"60","115.753131","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=5465 Ack=15860 Win=2595 Len=0"
"61","123.623412","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=5465 Ack=15860 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"62","123.623502","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=15860 Ack=5963 Win=4999 Len=0"
"63","123.737943","5.9.28.6","10.152.152.11","TCP","281","5222  >  49655 [PSH, ACK] Seq=5963 Ack=15860 Win=2640 Len=227 [TCP segment of a reassembled PDU]"
"64","123.737972","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=15860 Ack=6190 Win=4999 Len=0"
"65","142.330000","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=15860 Ack=6190 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"66","142.330233","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=17320 Ack=6190 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"67","142.330415","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=6190 Ack=17320 Win=2640 Len=0"
"68","142.330428","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=6190 Ack=18780 Win=2591 Len=0"
"69","142.330566","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=18780 Ack=6190 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"70","142.330783","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=20240 Ack=6190 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"71","142.331104","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=6190 Ack=20240 Win=2640 Len=0"
"72","142.331287","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=6190 Ack=21700 Win=2591 Len=0"
"73","142.331463","10.152.152.11","5.9.28.6","TCP","1259","49655  >  5222 [PSH, ACK] Seq=21700 Ack=6190 Win=4999 Len=1205 [TCP segment of a reassembled PDU]"
"74","142.331614","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=6190 Ack=22905 Win=2640 Len=0"
"75","142.559244","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=6190 Ack=22905 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"76","142.559316","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=22905 Ack=6688 Win=4999 Len=0"
"77","142.669727","5.9.28.6","10.152.152.11","TCP","297","5222  >  49655 [PSH, ACK] Seq=6688 Ack=22905 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"78","142.669802","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=22905 Ack=6931 Win=4999 Len=0"
"79","153.115594","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=6931 Ack=22905 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"80","153.115630","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=22905 Ack=7429 Win=4999 Len=0"
"81","153.227532","5.9.28.6","10.152.152.11","TCP","281","5222  >  49655 [PSH, ACK] Seq=7429 Ack=22905 Win=2640 Len=227 [TCP segment of a reassembled PDU]"
"82","153.227561","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=22905 Ack=7656 Win=4999 Len=0"
"83","167.608034","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=22905 Ack=7656 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"84","167.608185","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=24365 Ack=7656 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"85","167.608457","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=7656 Ack=24365 Win=2640 Len=0"
"86","167.608512","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=7656 Ack=25825 Win=2591 Len=0"
"87","167.608636","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=25825 Ack=7656 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"88","167.608792","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=27285 Ack=7656 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"89","167.608925","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=7656 Ack=27285 Win=2640 Len=0"
"90","167.609009","10.152.152.11","5.9.28.6","TCP","1259","49655  >  5222 [PSH, ACK] Seq=28745 Ack=7656 Win=4999 Len=1205 [TCP segment of a reassembled PDU]"
"91","167.609092","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=7656 Ack=28745 Win=2591 Len=0"
"92","167.609145","5.9.28.6","10.152.152.11","TCP","60","5222  >  49655 [ACK] Seq=7656 Ack=29950 Win=2521 Len=0"
"93","167.883089","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=7656 Ack=29950 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"94","167.883351","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=29950 Ack=8154 Win=4999 Len=0"
"95","167.958576","5.9.28.6","10.152.152.11","TCP","297","5222  >  49655 [PSH, ACK] Seq=8154 Ack=29950 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"96","167.958610","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=29950 Ack=8397 Win=4999 Len=0"
"97","180.137688","5.9.28.6","10.152.152.11","TCP","552","5222  >  49655 [PSH, ACK] Seq=8397 Ack=29950 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"98","180.137737","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=29950 Ack=8895 Win=4999 Len=0"
"99","180.250339","5.9.28.6","10.152.152.11","TCP","281","5222  >  49655 [PSH, ACK] Seq=8895 Ack=29950 Win=2640 Len=227 [TCP segment of a reassembled PDU]"
"100","180.250372","10.152.152.11","5.9.28.6","TCP","54","49655  >  5222 [ACK] Seq=29950 Ack=9122 Win=4999 Len=0"
"101","189.781886","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=29950 Ack=9122 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"102","189.781996","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=31410 Ack=9122 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
"103","189.782059","10.152.152.11","5.9.28.6","TCP","1514","49655  >  5222 [ACK] Seq=32870 Ack=9122 Win=4999 Len=1460 [TCP segment of a reassembled PDU]"
