"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","173.194.121.31","TCP","54","42907  >  443 [ACK] Seq=1 Ack=1 Win=10542 Len=0"
"2","0.001134","173.194.121.31","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  42907 [ACK] Seq=1 Ack=2 Win=2181 Len=0"
"3","0.265125","10.152.152.11","74.125.228.238","TCP","1514","52161  >  443 [ACK] Seq=1 Ack=1 Win=9412 Len=1460 [TCP segment of a reassembled PDU]"
"4","0.265595","10.152.152.11","74.125.228.238","TLSv1.1","935","Application Data"
"5","0.265801","10.152.152.11","74.125.228.238","TLSv1.1","123","Application Data"
"6","0.265971","10.152.152.11","74.125.228.238","TLSv1.1","651","Application Data"
"7","0.266567","74.125.228.238","10.152.152.11","TCP","60","443  >  52161 [ACK] Seq=1 Ack=1461 Win=2640 Len=0"
"8","0.266594","74.125.228.238","10.152.152.11","TCP","60","443  >  52161 [ACK] Seq=1 Ack=2342 Win=2640 Len=0"
"9","0.266596","74.125.228.238","10.152.152.11","TCP","60","443  >  52161 [ACK] Seq=1 Ack=2411 Win=2639 Len=0"
"10","0.266605","74.125.228.238","10.152.152.11","TCP","60","443  >  52161 [ACK] Seq=1 Ack=3008 Win=2602 Len=0"
"11","0.756832","74.125.228.238","10.152.152.11","TLSv1.1","123","Application Data"
"12","0.797254","10.152.152.11","74.125.228.238","TCP","54","52161  >  443 [ACK] Seq=3008 Ack=70 Win=9412 Len=0"
"13","0.946916","74.125.70.189","10.152.152.11","TLSv1.1","523","Application Data"
"14","0.946952","10.152.152.11","74.125.70.189","TCP","54","37822  >  443 [ACK] Seq=1 Ack=470 Win=2640 Len=0"
"15","0.946977","74.125.228.238","10.152.152.11","TLSv1.1","378","Application Data, Application Data, Application Data, Application Data"
"16","0.946982","10.152.152.11","74.125.228.238","TCP","54","52161  >  443 [ACK] Seq=3008 Ack=394 Win=9412 Len=0"
"17","0.951542","10.152.152.11","74.125.228.238","TLSv1.1","123","Application Data"
"18","0.953160","74.125.228.238","10.152.152.11","TCP","60","443  >  52161 [ACK] Seq=394 Ack=3077 Win=2640 Len=0"
"19","2.816005","10.152.152.11","173.194.121.7","TCP","54","56094  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"20","2.817001","173.194.121.7","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  56094 [ACK] Seq=1 Ack=2 Win=2640 Len=0"
"21","2.943875","10.152.152.11","173.194.121.26","TCP","54","48884  >  443 [ACK] Seq=1 Ack=1 Win=2190 Len=0"
"22","2.944256","173.194.121.26","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  48884 [ACK] Seq=1 Ack=2 Win=1166 Len=0"
"23","3.692170","10.152.152.11","173.194.121.3","GQUIC","1392","Client Hello, PKN: 1, CID: 2097941014835512147"
"24","3.693879","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=1 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"25","3.694035","10.152.152.11","173.194.121.3","TLSv1.1","919","Application Data"
"26","3.694223","10.152.152.11","173.194.121.3","TLSv1.1","123","Application Data"
"27","3.694430","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=2395 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"28","3.694554","10.152.152.11","173.194.121.3","TLSv1.1","1511","Application Data"
"29","3.694795","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=1461 Win=2640 Len=0"
"30","3.694817","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=2326 Win=2822 Len=0"
"31","3.694821","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=2395 Win=2822 Len=0"
"32","3.694931","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=5312 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"33","3.694956","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=3855 Win=2787 Len=0"
"34","3.694959","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=5312 Win=2717 Len=0"
"35","3.695018","10.152.152.11","173.194.121.3","TLSv1.1","1511","Application Data"
"36","3.695222","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=8229 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"37","3.695322","10.152.152.11","173.194.121.3","TLSv1.1","1511","Application Data"
"38","3.695377","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=6772 Win=2858 Len=0"
"39","3.695386","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=8229 Win=2809 Len=0"
"40","3.695739","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=9689 Win=2739 Len=0"
"41","3.695744","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=11146 Win=2669 Len=0"
"42","3.695819","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=11146 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"43","3.695919","10.152.152.11","173.194.121.3","TLSv1.1","1511","Application Data"
"44","3.696301","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=12606 Win=2858 Len=0"
"45","3.696306","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=14063 Win=2809 Len=0"
"46","3.696388","10.152.152.11","173.194.121.3","TCP","1514","36625  >  443 [ACK] Seq=14063 Ack=1 Win=2008 Len=1460 [TCP segment of a reassembled PDU]"
"47","3.696458","10.152.152.11","173.194.121.3","TLSv1.1","1511","Application Data"
"48","3.696847","10.152.152.11","173.194.121.3","TLSv1.1","795","Application Data"
"49","3.696983","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=15523 Win=2739 Len=0"
"50","3.696985","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=16980 Win=2669 Len=0"
"51","3.697177","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=1 Ack=17721 Win=2623 Len=0"
"52","3.809048","10.152.152.11","173.194.121.7","TCP","1514","56096  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"53","3.809351","173.194.121.7","10.152.152.11","TCP","60","443  >  56096 [ACK] Seq=1 Ack=1461 Win=2640 Len=0"
"54","3.809446","10.152.152.11","173.194.121.7","TLSv1.1","935","Application Data"
"55","3.809928","10.152.152.11","173.194.121.7","TLSv1.1","123","Application Data"
"56","3.810169","10.152.152.11","173.194.121.7","TLSv1.1","251","Application Data"
"57","3.810569","173.194.121.7","10.152.152.11","TCP","60","443  >  56096 [ACK] Seq=1 Ack=2342 Win=2640 Len=0"
"58","3.810692","173.194.121.7","10.152.152.11","TCP","60","443  >  56096 [ACK] Seq=1 Ack=2411 Win=2639 Len=0"
"59","3.810698","173.194.121.7","10.152.152.11","TCP","60","443  >  56096 [ACK] Seq=1 Ack=2608 Win=2627 Len=0"
"60","3.842744","10.152.152.11","173.194.121.3","GQUIC","1392","Client Hello, PKN: 2, CID: 2097941014835512147"
"61","4.144075","10.152.152.11","173.194.121.3","GQUIC","1392","Client Hello, PKN: 3, CID: 2097941014835512147"
"62","4.232499","173.194.121.3","10.152.152.11","TLSv1.1","123","Application Data"
"63","4.271628","10.152.152.11","173.194.121.3","TCP","54","36625  >  443 [ACK] Seq=17721 Ack=70 Win=2008 Len=0"
"64","4.422318","173.194.121.3","10.152.152.11","TLSv1.1","325","Application Data, Application Data, Application Data"
"65","4.422355","10.152.152.11","173.194.121.3","TCP","54","36625  >  443 [ACK] Seq=17721 Ack=341 Win=2190 Len=0"
"66","4.422432","173.194.121.7","10.152.152.11","TLSv1.1","123","Application Data"
"67","4.429223","10.152.152.11","173.194.121.3","TLSv1.1","123","Application Data"
"68","4.429876","173.194.121.3","10.152.152.11","TCP","60","443  >  36625 [ACK] Seq=341 Ack=17790 Win=2858 Len=0"
