"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","5.9.28.6","TCP","171","56283  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=4920 Len=117 [TCP segment of a reassembled PDU]"
"2","0.000020","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=1 Ack=118 Win=2640 Len=0"
"3","0.204318","5.9.28.6","10.152.152.11","TCP","219","5222  >  56283 [PSH, ACK] Seq=1 Ack=118 Win=2640 Len=165 [TCP segment of a reassembled PDU]"
"4","0.204339","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=118 Ack=166 Win=4920 Len=0"
"5","5.013124","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"6","5.013452","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"7","24.375209","10.152.152.11","5.9.28.6","TCP","235","56283  >  5222 [PSH, ACK] Seq=118 Ack=166 Win=4920 Len=181 [TCP segment of a reassembled PDU]"
"8","24.376997","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=166 Ack=299 Win=2640 Len=0"
"9","24.599468","5.9.28.6","10.152.152.11","TCP","315","5222  >  56283 [PSH, ACK] Seq=166 Ack=299 Win=2640 Len=261 [TCP segment of a reassembled PDU]"
"10","24.599495","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=299 Ack=427 Win=4920 Len=0"
"11","37.455339","5.9.28.6","10.152.152.11","TCP","459","5222  >  56283 [PSH, ACK] Seq=427 Ack=299 Win=2640 Len=405 [TCP segment of a reassembled PDU]"
"12","37.455363","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=299 Ack=832 Win=4920 Len=0"
"13","90.000473","10.152.152.11","5.9.28.6","TCP","171","56283  >  5222 [PSH, ACK] Seq=299 Ack=832 Win=4920 Len=117 [TCP segment of a reassembled PDU]"
"14","90.001276","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=832 Ack=416 Win=2640 Len=0"
"15","90.209447","5.9.28.6","10.152.152.11","TCP","219","5222  >  56283 [PSH, ACK] Seq=832 Ack=416 Win=2640 Len=165 [TCP segment of a reassembled PDU]"
"16","90.209536","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=416 Ack=997 Win=4920 Len=0"
"17","94.342553","10.152.152.11","5.9.28.6","TCP","459","56283  >  5222 [PSH, ACK] Seq=416 Ack=997 Win=4920 Len=405 [TCP segment of a reassembled PDU]"
"18","94.343670","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=997 Ack=821 Win=2640 Len=0"
"19","94.542769","5.9.28.6","10.152.152.11","TCP","539","5222  >  56283 [PSH, ACK] Seq=997 Ack=821 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"20","94.542790","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=821 Ack=1482 Win=4920 Len=0"
"21","104.146482","5.9.28.6","10.152.152.11","TCP","552","5222  >  56283 [PSH, ACK] Seq=1482 Ack=821 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"22","104.146532","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=821 Ack=1980 Win=4920 Len=0"
"23","104.336378","5.9.28.6","10.152.152.11","TCP","505","5222  >  56283 [PSH, ACK] Seq=1980 Ack=821 Win=2640 Len=451 [TCP segment of a reassembled PDU]"
"24","104.336398","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=821 Ack=2431 Win=4920 Len=0"
"25","113.018055","10.152.152.11","5.9.28.6","TCP","459","56283  >  5222 [PSH, ACK] Seq=821 Ack=2431 Win=4920 Len=405 [TCP segment of a reassembled PDU]"
"26","113.018942","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=2431 Ack=1226 Win=2640 Len=0"
"27","113.244366","5.9.28.6","10.152.152.11","TCP","539","5222  >  56283 [PSH, ACK] Seq=2431 Ack=1226 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"28","113.244386","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=1226 Ack=2916 Win=4920 Len=0"
"29","127.481468","5.9.28.6","10.152.152.11","TCP","539","5222  >  56283 [PSH, ACK] Seq=2916 Ack=1226 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"30","127.481490","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=1226 Ack=3401 Win=4920 Len=0"
"31","133.070002","10.152.152.11","5.9.28.6","TCP","459","56283  >  5222 [PSH, ACK] Seq=1226 Ack=3401 Win=4920 Len=405 [TCP segment of a reassembled PDU]"
"32","133.071399","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=3401 Ack=1631 Win=2640 Len=0"
"33","133.504248","5.9.28.6","10.152.152.11","TCP","539","5222  >  56283 [PSH, ACK] Seq=3401 Ack=1631 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"34","133.504273","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=1631 Ack=3886 Win=4920 Len=0"
"35","135.950645","10.152.152.11","5.9.28.6","TCP","459","56283  >  5222 [PSH, ACK] Seq=1631 Ack=3886 Win=4920 Len=405 [TCP segment of a reassembled PDU]"
"36","135.952292","5.9.28.6","10.152.152.11","TCP","60","5222  >  56283 [ACK] Seq=3886 Ack=2036 Win=2640 Len=0"
"37","137.286667","5.9.28.6","10.152.152.11","TCP","539","5222  >  56283 [PSH, ACK] Seq=3886 Ack=2036 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"38","137.286691","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=2036 Ack=4371 Win=4920 Len=0"
"39","139.829154","5.9.28.6","10.152.152.11","TCP","552","5222  >  56283 [PSH, ACK] Seq=4371 Ack=2036 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"40","139.829223","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=2036 Ack=4869 Win=4920 Len=0"
"41","140.017915","5.9.28.6","10.152.152.11","TCP","297","5222  >  56283 [PSH, ACK] Seq=4869 Ack=2036 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"42","140.017937","10.152.152.11","5.9.28.6","TCP","54","56283  >  5222 [ACK] Seq=2036 Ack=5112 Win=4920 Len=0"
"43","148.289949","10.152.152.11","10.152.152.10","DNS","69","Standard query 0xcaff A google.ca"
"44","148.290362","10.152.152.11","10.152.152.10","DNS","73","Standard query 0xb10f A www.google.ca"
"45","148.290583","10.152.152.11","10.152.152.10","DNS","79","Standard query 0xccf3 A accounts.google.com"
"46","148.803621","10.152.152.10","10.152.152.11","DNS","85","Standard query response 0xcaff A google.ca A 173.194.40.111"
"47","148.804537","10.152.152.11","10.152.152.10","DNS","80","Standard query 0xf991 A accounts.youtube.com"
"48","148.956832","10.152.152.10","10.152.152.11","DNS","95","Standard query response 0xccf3 A accounts.google.com A 216.58.208.205"
"49","148.957111","10.152.152.11","10.152.152.10","DNS","86","Standard query 0x998c A android.clients.google.com"
"50","149.112978","10.152.152.10","10.152.152.11","DNS","89","Standard query response 0xb10f A www.google.ca A 74.125.136.94"
"51","149.113931","10.152.152.11","10.152.152.10","DNS","79","Standard query 0x3f46 A clients4.google.com"
"52","149.278414","10.152.152.10","10.152.152.11","DNS","96","Standard query response 0xf991 A accounts.youtube.com A 173.194.40.100"
"53","149.278681","10.152.152.11","10.152.152.10","DNS","74","Standard query 0xa258 A www.google.com"
"54","149.434098","10.152.152.10","10.152.152.11","DNS","102","Standard query response 0x998c A android.clients.google.com A 216.58.208.206"
