"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","157.56.126.188","TLSv1","683","Application Data"
"2","0.000277","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1 Ack=630 Win=2640 Len=0"
"3","0.636110","157.56.126.188","10.152.152.11","TCP","552","443  >  50946 [PSH, ACK] Seq=1 Ack=630 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"4","0.636199","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=630 Ack=499 Win=2640 Len=0"
"5","0.780798","157.56.126.188","10.152.152.11","TLSv1","552","Application Data [TCP segment of a reassembled PDU]"
"6","0.780833","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=630 Ack=997 Win=2640 Len=0"
"7","0.845673","157.56.126.188","10.152.152.11","TLSv1","76","Application Data"
"8","0.845705","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=630 Ack=1019 Win=2640 Len=0"
"9","3.913452","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"10","3.913882","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1019 Ack=1307 Win=2640 Len=0"
"11","4.457564","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"12","4.457663","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=1307 Ack=1120 Win=2640 Len=0"
"13","7.575262","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"14","7.575715","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1120 Ack=1984 Win=2640 Len=0"
"15","8.218061","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"16","8.218151","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=1984 Ack=1221 Win=2640 Len=0"
"17","17.686412","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"18","17.686844","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1221 Ack=2661 Win=2640 Len=0"
"19","18.264274","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"20","18.264364","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=2661 Ack=1322 Win=2640 Len=0"
"21","23.686942","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"22","23.687388","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1322 Ack=3338 Win=2640 Len=0"
"23","25.221007","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"24","25.221098","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=3338 Ack=1423 Win=2640 Len=0"
"25","28.393663","10.152.152.11","10.152.152.10","DNS","76","Standard query 0xb74d A irc.freenode.net"
"26","28.393781","10.152.152.11","10.152.152.10","DNS","76","Standard query 0xe176 AAAA irc.freenode.net"
"27","28.633222","10.152.152.10","10.152.152.11","DNS","92","Standard query response 0xb74d A irc.freenode.net A 193.219.128.49"
"28","28.768789","10.152.152.10","10.152.152.11","DNS","76","Standard query response 0xe176 No such name AAAA irc.freenode.net"
"29","28.769440","10.152.152.11","193.219.128.49","TCP","66","54208  >  6667 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"30","28.769970","193.219.128.49","10.152.152.11","TCP","66","6667  >  54208 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"31","28.770108","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"32","28.770662","10.152.152.11","193.219.128.49","IRC","70","Request (PASS)"
"33","28.771001","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=1 Ack=17 Win=14608 Len=0"
"34","28.771064","10.152.152.11","193.219.128.49","IRC","92","Request (USER)"
"35","28.771435","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=1 Ack=55 Win=14608 Len=0"
"36","28.771457","10.152.152.11","193.219.128.49","IRC","66","Request (NICK)"
"37","28.771948","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=1 Ack=67 Win=14608 Len=0"
"38","29.275683","193.219.128.49","10.152.152.11","IRC","118","Response (NOTICE)"
"39","29.275786","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=67 Ack=65 Win=14608 Len=0"
"40","29.339684","193.219.128.49","10.152.152.11","IRC","105","Response (NOTICE)"
"41","29.339713","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=67 Ack=116 Win=14608 Len=0"
"42","29.404247","193.219.128.49","10.152.152.11","IRC","108","Response (NOTICE)"
"43","29.404315","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=67 Ack=170 Win=14608 Len=0"
"44","29.823414","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"45","29.823864","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1423 Ack=4015 Win=2640 Len=0"
"46","29.869133","193.219.128.49","10.152.152.11","IRC","121","Response (NOTICE)"
"47","29.869162","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=67 Ack=237 Win=14608 Len=0"
"48","30.075479","193.219.128.49","10.152.152.11","IRC","117","Response (433)"
"49","30.075510","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=67 Ack=300 Win=14608 Len=0"
"50","30.076057","10.152.152.11","193.219.128.49","IRC","67","Request (NICK)"
"51","30.076522","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=300 Ack=80 Win=14608 Len=0"
"52","30.449408","193.219.128.49","10.152.152.11","IRC","118","Response (433)"
"53","30.449898","10.152.152.11","193.219.128.49","IRC","67","Request (NICK)"
"54","30.450311","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=364 Ack=93 Win=14608 Len=0"
"55","30.515906","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"56","30.516002","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=4015 Ack=1524 Win=2640 Len=0"
"57","30.832701","193.219.128.49","10.152.152.11","IRC","374","Response (465) (ERROR)"
"58","30.833882","10.152.152.11","193.219.128.49","IRC","70","Request (QUIT)"
"59","30.833963","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [FIN, ACK] Seq=109 Ack=684 Win=15680 Len=0"
"60","30.834283","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [ACK] Seq=684 Ack=109 Win=14608 Len=0"
"61","30.834680","193.219.128.49","10.152.152.11","TCP","60","6667  >  54208 [FIN, ACK] Seq=684 Ack=110 Win=14608 Len=0"
"62","30.834713","10.152.152.11","193.219.128.49","TCP","54","54208  >  6667 [ACK] Seq=110 Ack=685 Win=15680 Len=0"
"63","38.743427","10.152.152.11","157.56.126.188","TLSv1","731","Application Data"
"64","38.743866","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1524 Ack=4692 Win=2640 Len=0"
"65","39.454158","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"66","39.454251","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=4692 Ack=1625 Win=2640 Len=0"
"67","40.455538","10.152.152.11","157.56.126.188","TLSv1","507","Application Data"
"68","40.455854","10.152.152.11","157.55.130.175","TCP","56","42164  >  33033 [PSH, ACK] Seq=1 Ack=1 Win=3917 Len=2"
"69","40.456070","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1625 Ack=5145 Win=2640 Len=0"
"70","40.456253","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=1 Ack=3 Win=2640 Len=0"
"71","40.862821","157.56.126.188","10.152.152.11","TLSv1","203","Application Data"
"72","40.862912","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=5145 Ack=1774 Win=2640 Len=0"
"73","43.409658","10.152.152.11","157.56.126.188","TLSv1","1307","Application Data"
"74","43.410005","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1774 Ack=6398 Win=2640 Len=0"
"75","43.410784","10.152.152.11","157.55.130.175","TCP","87","42164  >  33033 [PSH, ACK] Seq=3 Ack=1 Win=3917 Len=33"
"76","43.411034","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=1 Ack=36 Win=2640 Len=0"
"77","43.411049","10.152.152.11","157.55.130.175","TCP","288","42164  >  33033 [PSH, ACK] Seq=36 Ack=1 Win=3917 Len=234"
"78","43.411350","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=1 Ack=270 Win=2640 Len=0"
"79","43.965632","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [PSH, ACK] Seq=1 Ack=270 Win=2640 Len=4"
"80","43.965720","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=270 Ack=5 Win=3917 Len=0"
"81","44.066438","157.55.130.175","10.152.152.11","TCP","552","33033  >  42164 [PSH, ACK] Seq=5 Ack=270 Win=2640 Len=498"
"82","44.066466","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=270 Ack=503 Win=4042 Len=0"
"83","44.109535","157.55.130.175","10.152.152.11","TCP","552","33033  >  42164 [PSH, ACK] Seq=503 Ack=270 Win=2640 Len=498"
"84","44.109562","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=270 Ack=1001 Win=4042 Len=0"
"85","44.111529","10.152.152.11","157.55.130.175","TCP","117","42164  >  33033 [PSH, ACK] Seq=270 Ack=1001 Win=4042 Len=63"
"86","44.112004","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=1001 Ack=333 Win=2640 Len=0"
"87","44.130528","157.55.130.175","10.152.152.11","TCP","696","33033  >  42164 [PSH, ACK] Seq=1001 Ack=333 Win=2640 Len=642"
"88","44.166698","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=333 Ack=1643 Win=4042 Len=0"
"89","44.183959","10.152.152.11","157.55.130.175","TCP","67","42164  >  33033 [PSH, ACK] Seq=333 Ack=1643 Win=4042 Len=13"
"90","44.222395","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=1643 Ack=346 Win=2640 Len=0"
"91","44.257106","157.55.130.175","10.152.152.11","TCP","493","33033  >  42164 [PSH, ACK] Seq=1643 Ack=346 Win=2640 Len=439"
"92","44.257132","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=346 Ack=2082 Win=4042 Len=0"
"93","44.400457","157.55.130.175","10.152.152.11","TCP","493","33033  >  42164 [PSH, ACK] Seq=2082 Ack=346 Win=2640 Len=439"
"94","44.400538","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=346 Ack=2521 Win=4042 Len=0"
"95","44.518219","10.152.152.11","157.56.126.188","TLSv1","683","Application Data"
"96","44.518489","157.56.126.188","10.152.152.11","TCP","60","443  >  50946 [ACK] Seq=1774 Ack=7027 Win=2640 Len=0"
"97","44.546362","157.56.126.188","10.152.152.11","TLSv1","155","Application Data"
"98","44.546388","10.152.152.11","157.56.126.188","TCP","54","50946  >  443 [ACK] Seq=7027 Ack=1875 Win=2640 Len=0"
"99","44.638850","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [PSH, ACK] Seq=2521 Ack=346 Win=2640 Len=4"
"100","44.638875","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=346 Ack=2525 Win=4042 Len=0"
"101","44.708396","157.55.130.175","10.152.152.11","TCP","757","33033  >  42164 [PSH, ACK] Seq=2525 Ack=346 Win=2640 Len=703"
"102","44.708421","10.152.152.11","157.55.130.175","TCP","54","42164  >  33033 [ACK] Seq=346 Ack=3228 Win=4042 Len=0"
"103","44.712323","10.152.152.11","5.178.135.69","TCP","66","41249  >  53262 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"104","44.712717","5.178.135.69","10.152.152.11","TCP","66","53262  >  41249 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"105","44.712754","10.152.152.11","5.178.135.69","TCP","54","41249  >  53262 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"106","44.713340","10.152.152.11","85.26.42.231","TCP","66","43622  >  27376 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"107","44.713759","85.26.42.231","10.152.152.11","TCP","66","27376  >  43622 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"108","44.713833","10.152.152.11","85.26.42.231","TCP","54","43622  >  27376 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"109","44.714991","10.152.152.11","5.178.135.69","TCP","155","41249  >  53262 [PSH, ACK] Seq=1 Ack=1 Win=14608 Len=101"
"110","44.715369","5.178.135.69","10.152.152.11","TCP","60","53262  >  41249 [ACK] Seq=1 Ack=102 Win=14608 Len=0"
"111","44.716014","10.152.152.11","85.26.42.231","TCP","123","43622  >  27376 [PSH, ACK] Seq=1 Ack=1 Win=14608 Len=69"
"112","44.716419","85.26.42.231","10.152.152.11","TCP","60","27376  >  43622 [ACK] Seq=1 Ack=70 Win=14608 Len=0"
"113","44.716765","10.152.152.11","157.55.130.175","TCP","111","42164  >  33033 [PSH, ACK] Seq=346 Ack=3228 Win=4042 Len=57"
"114","44.717105","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=3228 Ack=403 Win=2640 Len=0"
"115","44.717173","10.152.152.11","157.55.130.175","TCP","168","42164  >  33033 [PSH, ACK] Seq=403 Ack=3228 Win=4042 Len=114"
"116","44.717454","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [ACK] Seq=3228 Ack=517 Win=2640 Len=0"
"117","45.190660","5.178.135.69","10.152.152.11","TCP","158","53262  >  41249 [PSH, ACK] Seq=1 Ack=102 Win=14608 Len=104"
"118","45.190761","10.152.152.11","5.178.135.69","TCP","54","41249  >  53262 [ACK] Seq=102 Ack=105 Win=14608 Len=0"
"119","45.190806","85.26.42.231","10.152.152.11","TCP","111","27376  >  43622 [PSH, ACK] Seq=1 Ack=70 Win=14608 Len=57"
"120","45.190829","10.152.152.11","85.26.42.231","TCP","54","43622  >  27376 [ACK] Seq=70 Ack=58 Win=14608 Len=0"
"121","45.191703","10.152.152.11","5.178.135.69","TCP","62","41249  >  53262 [PSH, ACK] Seq=102 Ack=105 Win=14608 Len=8"
"122","45.192198","5.178.135.69","10.152.152.11","TCP","60","53262  >  41249 [ACK] Seq=105 Ack=110 Win=14608 Len=0"
"123","45.192828","10.152.152.11","85.26.42.231","TCP","62","43622  >  27376 [PSH, ACK] Seq=70 Ack=58 Win=14608 Len=8"
"124","45.193354","85.26.42.231","10.152.152.11","TCP","60","27376  >  43622 [ACK] Seq=58 Ack=78 Win=14608 Len=0"
"125","45.236045","157.55.130.175","10.152.152.11","TCP","60","33033  >  42164 [PSH, ACK] Seq=3228 Ack=517 Win=2640 Len=4"
"126","45.236123","5.178.135.69","10.152.152.11","TCP","62","53262  >  41249 [PSH, ACK] Seq=105 Ack=110 Win=14608 Len=8"
"127","45.236797","10.152.152.11","5.178.135.69","TCP","114","41249  >  53262 [PSH, ACK] Seq=110 Ack=113 Win=14608 Len=60"
