"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","10.152.152.10","DNS","79","Standard query 0x322c A smtp.googlemail.com"
"2","0.000064","10.152.152.11","10.152.152.10","DNS","79","Standard query 0xf165 AAAA smtp.googlemail.com"
"3","0.292514","10.152.152.10","10.152.152.11","DNS","95","Standard query response 0x322c A smtp.googlemail.com A 74.125.136.16"
"4","0.475394","10.152.152.10","10.152.152.11","DNS","79","Standard query response 0xf165 No such name AAAA smtp.googlemail.com"
"5","0.476146","10.152.152.11","74.125.136.16","TCP","66","50591  >  465 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"6","0.476499","74.125.136.16","10.152.152.11","TCP","66","465  >  50591 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"7","0.476540","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"8","0.477368","10.152.152.11","74.125.136.16","TLSv1.2","212","Client Hello"
"9","0.477808","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=1 Ack=159 Win=15680 Len=0"
"10","0.996801","74.125.136.16","10.152.152.11","TLSv1.2","1514","Server Hello"
"11","0.996907","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=159 Ack=1461 Win=17520 Len=0"
"12","0.996944","74.125.136.16","10.152.152.11","TCP","1514","465  >  50591 [ACK] Seq=1461 Ack=159 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.996962","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=159 Ack=2921 Win=20448 Len=0"
"14","0.997028","74.125.136.16","10.152.152.11","TLSv1.2","620","Certificate [TCP segment of a reassembled PDU]"
"15","0.997040","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=159 Ack=3487 Win=23360 Len=0"
"16","1.141714","74.125.136.16","10.152.152.11","TLSv1.2","71","Server Key Exchange, Server Hello Done"
"17","1.141767","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=159 Ack=3504 Win=23360 Len=0"
"18","1.148907","10.152.152.11","74.125.136.16","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"19","1.149155","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=3504 Ack=285 Win=15680 Len=0"
"20","1.447163","74.125.136.16","10.152.152.11","TLSv1.2","300","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"21","1.483520","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=285 Ack=3750 Win=26288 Len=0"
"22","1.664861","74.125.136.16","10.152.152.11","TLSv1.2","142","Application Data"
"23","1.664913","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=285 Ack=3838 Win=26288 Len=0"
"24","1.674203","10.152.152.11","74.125.136.16","TLSv1.2","105","Application Data"
"25","1.674565","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=3838 Ack=336 Win=15680 Len=0"
"26","2.045460","74.125.136.16","10.152.152.11","TLSv1.2","298","Application Data"
"27","2.066271","10.152.152.11","10.152.152.10","DNS","78","Standard query 0x8c9e A www.googleapis.com"
"28","2.066312","10.152.152.11","10.152.152.10","DNS","78","Standard query 0x2bd7 AAAA www.googleapis.com"
"29","2.066602","10.152.152.11","10.152.152.10","DNS","78","Standard query 0x8a6a A www.googleapis.com"
"30","2.083039","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=336 Ack=4082 Win=29200 Len=0"
"31","2.384444","10.152.152.10","10.152.152.11","DNS","94","Standard query response 0x8c9e A www.googleapis.com A 216.58.213.10"
"32","2.527609","10.152.152.10","10.152.152.11","DNS","78","Standard query response 0x2bd7 No such name AAAA www.googleapis.com"
"33","2.593072","10.152.152.10","10.152.152.11","DNS","94","Standard query response 0x8a6a A www.googleapis.com A 216.58.213.10"
"34","2.593421","10.152.152.11","216.58.213.10","TCP","66","46669  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"35","2.593717","216.58.213.10","10.152.152.11","TCP","66","443  >  46669 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"36","2.593746","10.152.152.11","216.58.213.10","TCP","54","46669  >  443 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"37","2.594215","10.152.152.11","216.58.213.10","TLSv1.2","260","Client Hello"
"38","2.594422","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=1 Ack=207 Win=15680 Len=0"
"39","3.100773","216.58.213.10","10.152.152.11","TLSv1.2","1514","Server Hello"
"40","3.100840","10.152.152.11","216.58.213.10","TCP","54","46669  >  443 [ACK] Seq=207 Ack=1461 Win=17520 Len=0"
"41","3.100864","216.58.213.10","10.152.152.11","TCP","1514","443  >  46669 [ACK] Seq=1461 Ack=207 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"42","3.100875","10.152.152.11","216.58.213.10","TCP","54","46669  >  443 [ACK] Seq=207 Ack=2921 Win=20448 Len=0"
"43","3.100889","216.58.213.10","10.152.152.11","TLSv1.2","620","Certificate [TCP segment of a reassembled PDU]"
"44","3.100897","10.152.152.11","216.58.213.10","TCP","54","46669  >  443 [ACK] Seq=207 Ack=3487 Win=23360 Len=0"
"45","3.164988","216.58.213.10","10.152.152.11","TLSv1.2","163","Server Key Exchange, Server Hello Done"
"46","3.165037","10.152.152.11","216.58.213.10","TCP","54","46669  >  443 [ACK] Seq=207 Ack=3596 Win=23360 Len=0"
"47","3.169377","10.152.152.11","216.58.213.10","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"48","3.169568","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=3596 Ack=333 Win=15680 Len=0"
"49","3.169786","10.152.152.11","216.58.213.10","TLSv1.2","211","Application Data"
"50","3.169937","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=3596 Ack=490 Win=16752 Len=0"
"51","3.170002","10.152.152.11","216.58.213.10","TLSv1.2","336","Application Data"
"52","3.170131","10.152.152.11","216.58.213.10","TLSv1.2","300","Application Data"
"53","3.170244","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=3596 Ack=772 Win=17824 Len=0"
"54","3.170251","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=3596 Ack=1018 Win=18896 Len=0"
"55","3.549182","216.58.213.10","10.152.152.11","TLSv1.2","436","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data, Application Data"
"56","3.561427","10.152.152.11","216.58.213.10","TLSv1.2","92","Application Data"
"57","3.561921","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=3978 Ack=1056 Win=18896 Len=0"
"58","3.694080","216.58.213.10","10.152.152.11","TLSv1.2","634","Application Data, Application Data, Application Data"
"59","3.694736","10.152.152.11","216.58.213.10","TLSv1.2","100","Application Data"
"60","3.695112","216.58.213.10","10.152.152.11","TCP","60","443  >  46669 [ACK] Seq=4558 Ack=1102 Win=18896 Len=0"
"61","3.727179","10.152.152.11","74.125.136.16","TLSv1.2","250","Application Data"
"62","3.727433","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=4082 Ack=532 Win=16752 Len=0"
"63","4.647982","74.125.136.16","10.152.152.11","TLSv1.2","103","Application Data"
"64","4.648054","10.152.152.11","74.125.136.16","TCP","54","50591  >  465 [ACK] Seq=532 Ack=4131 Win=29200 Len=0"
"65","4.659279","10.152.152.11","74.125.136.16","TLSv1.2","126","Application Data"
"66","4.659715","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=4131 Ack=604 Win=16752 Len=0"
"67","5.146627","74.125.136.16","10.152.152.11","TLSv1.2","125","Application Data"
"68","5.158216","10.152.152.11","74.125.136.16","TLSv1.2","114","Application Data"
"69","5.158710","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=4202 Ack=664 Win=16752 Len=0"
"70","5.547102","74.125.136.16","10.152.152.11","TLSv1.2","125","Application Data"
"71","5.575115","10.152.152.11","74.125.136.16","TLSv1.2","89","Application Data"
"72","5.575429","74.125.136.16","10.152.152.11","TCP","60","465  >  50591 [ACK] Seq=4273 Ack=699 Win=16752 Len=0"
