"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","68.232.34.151","TCP","54","56696  >  80 [FIN, ACK] Seq=1 Ack=1 Win=2640 Len=0"
"2","0.000371","68.232.34.151","10.152.152.11","TCP","60","80  >  56696 [ACK] Seq=1 Ack=2 Win=980 Len=0"
"3","0.640011","10.152.152.11","23.235.43.246","TCP","54","35241  >  80 [FIN, ACK] Seq=1 Ack=1 Win=7661 Len=0"
"4","0.640762","23.235.43.246","10.152.152.11","TCP","60","80  >  35241 [FIN, ACK] Seq=1 Ack=2 Win=1047 Len=0"
"5","0.640911","10.152.152.11","23.235.43.246","TCP","54","35241  >  80 [ACK] Seq=2 Ack=2 Win=7661 Len=0"
"6","1.963158","10.152.152.11","10.152.191.255","UDP","86","57621  >  57621 Len=44"
"7","13.708023","10.152.152.11","10.152.152.10","DNS","80","Standard query 0x6939 A audio-fa.spotify.com"
"8","14.226901","10.152.152.10","10.152.152.11","DNS","96","Standard query response 0x6939 A audio-fa.spotify.com A 23.235.43.246"
"9","14.227137","10.152.152.11","23.235.43.246","TCP","66","35242  >  80 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"10","14.227369","23.235.43.246","10.152.152.11","TCP","66","80  >  35242 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"11","14.227395","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"12","14.227471","10.152.152.11","23.235.43.246","HTTP","363","GET /audio/3c8a6d8bff0886122cf198555f41cc7a5bb8e593?1456331742_1pzWGk+UlGtPTR9nHfwPkrmJmzukghPkr58hHVBopjQ= HTTP/1.1 "
"13","14.227638","23.235.43.246","10.152.152.11","TCP","60","80  >  35242 [ACK] Seq=1 Ack=310 Win=15680 Len=0"
"14","14.833425","23.235.43.246","10.152.152.11","TCP","584","80  >  35242 [PSH, ACK] Seq=1 Ack=310 Win=15680 Len=530 [TCP segment of a reassembled PDU]"
"15","14.833462","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=531 Win=15680 Len=0"
"16","14.856407","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=531 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"17","14.856429","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=1991 Win=18592 Len=0"
"18","14.856450","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=1991 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"19","14.856457","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=3451 Win=21520 Len=0"
"20","14.856468","23.235.43.246","10.152.152.11","TCP","620","80  >  35242 [PSH, ACK] Seq=3451 Ack=310 Win=15680 Len=566 [TCP segment of a reassembled PDU]"
"21","14.856474","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=4017 Win=24432 Len=0"
"22","14.881930","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=4017 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"23","14.881959","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=5477 Win=27360 Len=0"
"24","14.881990","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=5477 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"25","14.882000","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=6937 Win=30272 Len=0"
"26","14.882019","23.235.43.246","10.152.152.11","TCP","1118","80  >  35242 [PSH, ACK] Seq=6937 Ack=310 Win=15680 Len=1064 [TCP segment of a reassembled PDU]"
"27","14.882029","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=8001 Win=33200 Len=0"
"28","14.925539","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=8001 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"29","14.925579","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=9461 Win=36112 Len=0"
"30","14.925645","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=9461 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"31","14.925659","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=10921 Win=39040 Len=0"
"32","14.925686","23.235.43.246","10.152.152.11","TCP","1118","80  >  35242 [PSH, ACK] Seq=10921 Ack=310 Win=15680 Len=1064 [TCP segment of a reassembled PDU]"
"33","14.925698","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=11985 Win=40336 Len=0"
"34","14.976001","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=11985 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"35","14.976093","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=13445 Win=42240 Len=0"
"36","14.976159","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=13445 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"37","14.976180","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=14905 Win=41456 Len=0"
"38","14.976214","23.235.43.246","10.152.152.11","TCP","1206","80  >  35242 [PSH, ACK] Seq=14905 Ack=310 Win=15680 Len=1152 [TCP segment of a reassembled PDU]"
"39","14.976234","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=16057 Win=40336 Len=0"
"40","14.976835","23.235.43.246","10.152.152.11","TCP","456","80  >  35242 [PSH, ACK] Seq=16057 Ack=310 Win=15680 Len=402 [TCP segment of a reassembled PDU]"
"41","14.976873","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=16459 Win=42240 Len=0"
"42","14.991101","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=16459 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"43","14.991151","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=17919 Win=42240 Len=0"
"44","14.991234","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=17919 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"45","14.991250","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=19379 Win=41456 Len=0"
"46","14.991282","23.235.43.246","10.152.152.11","TCP","1206","80  >  35242 [PSH, ACK] Seq=19379 Ack=310 Win=15680 Len=1152 [TCP segment of a reassembled PDU]"
"47","14.991296","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=20531 Win=40336 Len=0"
"48","14.991332","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=20531 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"49","14.991596","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=21991 Win=39216 Len=0"
"50","14.991722","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=21991 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"51","14.991744","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=23451 Win=38096 Len=0"
"52","14.991786","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=23451 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"53","14.991800","23.235.43.246","10.152.152.11","TCP","880","80  >  35242 [PSH, ACK] Seq=24911 Ack=310 Win=15680 Len=826 [TCP segment of a reassembled PDU]"
"54","14.991821","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=24911 Win=42240 Len=0"
"55","14.991904","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=25737 Win=41456 Len=0"
"56","15.034766","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=25737 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"57","15.034783","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=27197 Win=42240 Len=0"
"58","15.034811","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=27197 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
"59","15.034816","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=28657 Win=41456 Len=0"
"60","15.034829","23.235.43.246","10.152.152.11","TCP","1118","80  >  35242 [PSH, ACK] Seq=28657 Ack=310 Win=15680 Len=1064 [TCP segment of a reassembled PDU]"
"61","15.034900","10.152.152.11","23.235.43.246","TCP","54","35242  >  80 [ACK] Seq=310 Ack=29721 Win=42240 Len=0"
"62","15.034982","23.235.43.246","10.152.152.11","TCP","1514","80  >  35242 [ACK] Seq=29721 Ack=310 Win=15680 Len=1460 [TCP segment of a reassembled PDU]"
