"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_11:4d:b1","Broadcast","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"2","0.000221","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"3","0.000227","10.152.152.11","216.58.219.228","TCP","66","48285  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"4","0.000369","216.58.219.228","10.152.152.11","TCP","66","443  >  48285 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"5","0.000388","10.152.152.11","216.58.219.228","TCP","54","48285  >  443 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"6","0.000521","10.152.152.11","10.152.152.10","DNS","74","Standard query 0xdb03 A www.google.com"
"7","0.000535","10.152.152.11","10.152.152.10","DNS","74","Standard query 0x52e3 AAAA www.google.com"
"8","0.000884","10.152.152.11","216.58.219.228","TLSv1.2","571","Client Hello"
"9","0.000960","10.152.152.11","10.152.152.10","DNS","74","Standard query 0x9efd A www.google.com"
"10","0.001002","216.58.219.228","10.152.152.11","TCP","60","443  >  48285 [ACK] Seq=1 Ack=518 Win=15680 Len=0"
"11","0.316362","10.152.152.10","10.152.152.11","DNS","90","Standard query response 0xdb03 A www.google.com A 173.194.116.210"
"12","0.316394","10.152.152.10","10.152.152.11","DNS","74","Standard query response 0x52e3 No such name AAAA www.google.com"
"13","0.316399","10.152.152.10","10.152.152.11","DNS","90","Standard query response 0x9efd A www.google.com A 173.194.116.210"
"14","0.827320","216.58.219.228","10.152.152.11","TLSv1.2","222","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"15","0.827362","10.152.152.11","216.58.219.228","TCP","54","48285  >  443 [ACK] Seq=518 Ack=169 Win=15680 Len=0"
"16","0.827680","10.152.152.11","216.58.219.228","TLSv1.2","141","Change Cipher Spec, Encrypted Handshake Message"
