"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","5.9.28.6","TCP","171","49616  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=4764 Len=117 [TCP segment of a reassembled PDU]"
"2","0.000638","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=1 Ack=118 Win=2640 Len=0"
"3","0.466312","5.9.28.6","10.152.152.11","TCP","203","5222  >  49616 [PSH, ACK] Seq=1 Ack=118 Win=2640 Len=149 [TCP segment of a reassembled PDU]"
"4","0.466403","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=118 Ack=150 Win=4764 Len=0"
"5","1.050718","5.9.28.6","10.152.152.11","TCP","315","5222  >  49616 [PSH, ACK] Seq=150 Ack=118 Win=2640 Len=261 [TCP segment of a reassembled PDU]"
"6","1.050851","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=118 Ack=411 Win=4764 Len=0"
"7","5.002889","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"8","5.003243","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"9","13.636146","10.152.152.11","5.9.28.6","TCP","379","49616  >  5222 [PSH, ACK] Seq=118 Ack=411 Win=4764 Len=325 [TCP segment of a reassembled PDU]"
"10","13.636412","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=411 Ack=443 Win=2640 Len=0"
"11","13.871500","5.9.28.6","10.152.152.11","TCP","459","5222  >  49616 [PSH, ACK] Seq=411 Ack=443 Win=2640 Len=405 [TCP segment of a reassembled PDU]"
"12","13.871594","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=443 Ack=816 Win=4764 Len=0"
"13","59.999754","10.152.152.11","5.9.28.6","TCP","171","49616  >  5222 [PSH, ACK] Seq=443 Ack=816 Win=4764 Len=117 [TCP segment of a reassembled PDU]"
"14","59.999977","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=816 Ack=560 Win=2640 Len=0"
"15","60.226628","5.9.28.6","10.152.152.11","TCP","203","5222  >  49616 [PSH, ACK] Seq=816 Ack=560 Win=2640 Len=149 [TCP segment of a reassembled PDU]"
"16","60.226721","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=560 Ack=965 Win=4764 Len=0"
"17","65.002921","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"18","65.003082","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"19","70.988751","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=965 Ack=560 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"20","70.988785","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=560 Ack=1450 Win=4764 Len=0"
"21","76.002828","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","Who has 10.152.152.11? Tell 10.152.152.10"
"22","76.002850","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","10.152.152.11 is at 08:00:27:11:4d:b1"
"23","80.220415","10.152.152.11","5.9.28.6","TCP","923","49616  >  5222 [PSH, ACK] Seq=560 Ack=1450 Win=4764 Len=869 [TCP segment of a reassembled PDU]"
"24","80.221055","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=1450 Ack=1429 Win=2640 Len=0"
"25","80.659383","5.9.28.6","10.152.152.11","TCP","552","5222  >  49616 [PSH, ACK] Seq=1450 Ack=1429 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"26","80.659408","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1429 Ack=1948 Win=4764 Len=0"
"27","80.787034","5.9.28.6","10.152.152.11","TCP","505","5222  >  49616 [PSH, ACK] Seq=1948 Ack=1429 Win=2640 Len=451 [TCP segment of a reassembled PDU]"
"28","80.787112","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1429 Ack=2399 Win=4764 Len=0"
"29","89.653812","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=2399 Ack=1429 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"30","89.653847","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1429 Ack=2884 Win=4764 Len=0"
"31","103.587836","10.152.152.11","5.9.28.6","TCP","459","49616  >  5222 [PSH, ACK] Seq=1429 Ack=2884 Win=4764 Len=405 [TCP segment of a reassembled PDU]"
"32","103.588337","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=2884 Ack=1834 Win=2640 Len=0"
"33","103.878006","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=2884 Ack=1834 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"34","103.878096","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1834 Ack=3369 Win=4764 Len=0"
"35","109.817016","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=3369 Ack=1834 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"36","109.817051","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1834 Ack=3854 Win=4764 Len=0"
"37","113.705935","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=3854 Ack=1834 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"38","113.705970","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=1834 Ack=4339 Win=4764 Len=0"
"39","115.396450","10.152.152.11","5.9.28.6","TCP","955","49616  >  5222 [PSH, ACK] Seq=1834 Ack=4339 Win=4764 Len=901 [TCP segment of a reassembled PDU]"
"40","115.397016","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=4339 Ack=2735 Win=2640 Len=0"
"41","116.234082","5.9.28.6","10.152.152.11","TCP","552","5222  >  49616 [PSH, ACK] Seq=4339 Ack=2735 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"42","116.234153","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=2735 Ack=4837 Win=4764 Len=0"
"43","116.358264","5.9.28.6","10.152.152.11","TCP","297","5222  >  49616 [PSH, ACK] Seq=4837 Ack=2735 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"44","116.358283","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=2735 Ack=5080 Win=4764 Len=0"
"45","132.212497","10.152.152.11","5.9.28.6","TCP","987","49616  >  5222 [PSH, ACK] Seq=2735 Ack=5080 Win=4764 Len=933 [TCP segment of a reassembled PDU]"
"46","132.213045","5.9.28.6","10.152.152.11","TCP","60","5222  >  49616 [ACK] Seq=5080 Ack=3668 Win=2640 Len=0"
"47","132.490285","5.9.28.6","10.152.152.11","TCP","552","5222  >  49616 [PSH, ACK] Seq=5080 Ack=3668 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"48","132.490381","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=3668 Ack=5578 Win=4764 Len=0"
"49","132.614433","5.9.28.6","10.152.152.11","TCP","297","5222  >  49616 [PSH, ACK] Seq=5578 Ack=3668 Win=2640 Len=243 [TCP segment of a reassembled PDU]"
"50","132.614455","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=3668 Ack=5821 Win=4764 Len=0"
"51","135.460482","5.9.28.6","10.152.152.11","TCP","539","5222  >  49616 [PSH, ACK] Seq=5821 Ack=3668 Win=2640 Len=485 [TCP segment of a reassembled PDU]"
"52","135.460563","10.152.152.11","5.9.28.6","TCP","54","49616  >  5222 [ACK] Seq=3668 Ack=6306 Win=4764 Len=0"
"53","143.919596","10.152.152.11","10.152.152.10","DNS","81","Standard query 0x44e1 A jabber.hot-chilli.net"
"54","143.919749","10.152.152.11","10.152.152.10","DNS","74","Standard query 0x366b A 2.gravatar.com"
"55","143.919863","10.152.152.11","10.152.152.10","DNS","79","Standard query 0x570f A accounts.google.com"
"56","144.021270","10.152.152.11","10.152.152.10","DNS","92","Standard query 0x2917 A conference.jabber.hot-chilli.net"
"57","144.040286","10.152.152.11","10.152.152.10","DNS","79","Standard query 0xd278 A clients4.google.com"
"58","144.040715","10.152.152.11","10.152.152.10","DNS","84","Standard query 0xe97f A translate.googleapis.com"
"59","144.927124","10.152.152.11","10.152.152.10","DNS","81","Standard query 0x3ae9 A jabber.hot-chilli.net"
"60","144.927466","10.152.152.11","10.152.152.10","DNS","74","Standard query 0x66d5 A 2.gravatar.com"
"61","144.927757","10.152.152.11","10.152.152.10","DNS","79","Standard query 0xcead A accounts.google.com"
"62","145.029354","10.152.152.11","10.152.152.10","DNS","92","Standard query 0x04f5 A conference.jabber.hot-chilli.net"
"63","145.048352","10.152.152.11","10.152.152.10","DNS","79","Standard query 0x573e A clients4.google.com"
"64","145.048736","10.152.152.11","10.152.152.10","DNS","84","Standard query 0x3de8 A translate.googleapis.com"
"65","145.108252","10.152.152.10","10.152.152.11","DNS","95","Standard query response 0x570f A accounts.google.com A 216.58.211.13"
"66","145.109521","10.152.152.11","10.152.152.10","DNS","76","Standard query 0xe224 A mtalk.google.com"
