"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"2","0.000767","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"3","1.866637","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=1 Ack=1 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
"4","1.866667","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=1 Ack=726 Win=4547 Len=0"
"5","17.153300","10.152.152.11","5.9.28.6","TCP","283","56297  >  5222 [PSH, ACK] Seq=1 Ack=726 Win=4547 Len=229 [TCP segment of a reassembled PDU]"
"6","17.153849","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=726 Ack=230 Win=2640 Len=0"
"7","17.476807","5.9.28.6","10.152.152.11","TCP","363","5222  >  56297 [PSH, ACK] Seq=726 Ack=230 Win=2640 Len=309 [TCP segment of a reassembled PDU]"
"8","17.476830","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=230 Ack=1035 Win=4547 Len=0"
"9","26.594514","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=1035 Ack=230 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"10","26.594534","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=230 Ack=1776 Win=4547 Len=0"
"11","40.137855","10.152.152.11","5.9.28.6","TCP","907","56297  >  5222 [PSH, ACK] Seq=230 Ack=1776 Win=4547 Len=853 [TCP segment of a reassembled PDU]"
"12","40.138395","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=1776 Ack=1083 Win=2640 Len=0"
"13","40.470278","5.9.28.6","10.152.152.11","TCP","987","5222  >  56297 [PSH, ACK] Seq=1776 Ack=1083 Win=2640 Len=933 [TCP segment of a reassembled PDU]"
"14","40.470321","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=1083 Ack=2709 Win=4547 Len=0"
"15","43.021847","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=2709 Ack=1083 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"16","43.021892","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=1083 Ack=3450 Win=4547 Len=0"
"17","46.473551","10.152.152.11","5.9.28.6","TCP","907","56297  >  5222 [PSH, ACK] Seq=1083 Ack=3450 Win=4547 Len=853 [TCP segment of a reassembled PDU]"
"18","46.474483","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=3450 Ack=1936 Win=2640 Len=0"
"19","46.815160","5.9.28.6","10.152.152.11","TCP","987","5222  >  56297 [PSH, ACK] Seq=3450 Ack=1936 Win=2640 Len=933 [TCP segment of a reassembled PDU]"
"20","46.815206","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=1936 Ack=4383 Win=4547 Len=0"
"21","88.283349","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=4383 Ack=1936 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"22","88.283413","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=1936 Ack=5124 Win=4547 Len=0"
"23","93.295627","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"24","93.296117","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","Who has 10.152.152.11? Tell 10.152.152.10"
"25","93.296175","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","10.152.152.11 is at 08:00:27:11:4d:b1"
"26","93.296196","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"27","118.009070","10.152.152.11","5.9.28.6","TCP","715","56297  >  5222 [PSH, ACK] Seq=1936 Ack=5124 Win=4547 Len=661 [TCP segment of a reassembled PDU]"
"28","118.009620","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=5124 Ack=2597 Win=2640 Len=0"
"29","118.365442","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=5124 Ack=2597 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
"30","118.365515","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=2597 Ack=5849 Win=4547 Len=0"
"31","137.355623","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=5849 Ack=2597 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"32","137.355696","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=2597 Ack=6590 Win=4547 Len=0"
"33","142.362742","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","Who has 10.152.152.11? Tell 10.152.152.10"
"34","142.362790","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","10.152.152.11 is at 08:00:27:11:4d:b1"
"35","147.567549","10.152.152.11","5.9.28.6","TCP","715","56297  >  5222 [PSH, ACK] Seq=2597 Ack=6590 Win=4547 Len=661 [TCP segment of a reassembled PDU]"
"36","147.568128","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=6590 Ack=3258 Win=2640 Len=0"
"37","147.896392","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=6590 Ack=3258 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
"38","147.896474","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=3258 Ack=7315 Win=4547 Len=0"
"39","152.576570","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"40","152.577241","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"41","162.655644","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=7315 Ack=3258 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"42","162.655682","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=3258 Ack=8056 Win=4547 Len=0"
"43","174.259742","10.152.152.11","5.9.28.6","TCP","715","56297  >  5222 [PSH, ACK] Seq=3258 Ack=8056 Win=4547 Len=661 [TCP segment of a reassembled PDU]"
"44","174.260180","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=8056 Ack=3919 Win=2640 Len=0"
"45","174.919539","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=8056 Ack=3919 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
"46","174.919578","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=3919 Ack=8781 Win=4547 Len=0"
"47","184.835333","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=8781 Ack=3919 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"48","184.835369","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=3919 Ack=9522 Win=4547 Len=0"
"49","186.245858","10.152.152.11","5.9.28.6","TCP","715","56297  >  5222 [PSH, ACK] Seq=3919 Ack=9522 Win=4547 Len=661 [TCP segment of a reassembled PDU]"
"50","186.246399","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=9522 Ack=4580 Win=2640 Len=0"
"51","186.587696","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=9522 Ack=4580 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
"52","186.587738","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=4580 Ack=10247 Win=4547 Len=0"
"53","221.124366","10.152.152.11","5.9.28.6","TCP","171","56297  >  5222 [PSH, ACK] Seq=4580 Ack=10247 Win=4547 Len=117 [TCP segment of a reassembled PDU]"
"54","221.125532","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=10247 Ack=4697 Win=2640 Len=0"
"55","221.534135","5.9.28.6","10.152.152.11","TCP","219","5222  >  56297 [PSH, ACK] Seq=10247 Ack=4697 Win=2640 Len=165 [TCP segment of a reassembled PDU]"
"56","221.534459","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=4697 Ack=10412 Win=4547 Len=0"
"57","226.128391","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"58","226.129498","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"59","226.535833","5.9.28.6","10.152.152.11","TCP","795","5222  >  56297 [PSH, ACK] Seq=10412 Ack=4697 Win=2640 Len=741 [TCP segment of a reassembled PDU]"
"60","226.535861","10.152.152.11","5.9.28.6","TCP","54","56297  >  5222 [ACK] Seq=4697 Ack=11153 Win=4547 Len=0"
"61","228.799216","10.152.152.11","5.9.28.6","TCP","715","56297  >  5222 [PSH, ACK] Seq=4697 Ack=11153 Win=4547 Len=661 [TCP segment of a reassembled PDU]"
"62","228.799703","5.9.28.6","10.152.152.11","TCP","60","5222  >  56297 [ACK] Seq=11153 Ack=5358 Win=2640 Len=0"
"63","229.188261","5.9.28.6","10.152.152.11","TCP","779","5222  >  56297 [PSH, ACK] Seq=11153 Ack=5358 Win=2640 Len=725 [TCP segment of a reassembled PDU]"
