"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","104.86.110.33","TCP","54","33806  >  443 [ACK] Seq=1 Ack=1 Win=1650 Len=0"
"2","0.000130","10.152.152.11","104.86.110.33","TCP","54","33807  >  443 [ACK] Seq=1 Ack=1 Win=1516 Len=0"
"3","0.000472","104.86.110.33","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  33806 [ACK] Seq=1 Ack=2 Win=1650 Len=0"
"4","0.000492","104.86.110.33","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  33807 [ACK] Seq=1 Ack=2 Win=1516 Len=0"
"5","5.887882","10.152.152.11","46.229.224.29","TCP","54","56005  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"6","5.888515","46.229.224.29","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  56005 [ACK] Seq=1 Ack=2 Win=2026 Len=0"
"7","9.215945","10.152.152.11","46.229.224.44","TCP","54","39920  >  443 [ACK] Seq=1 Ack=1 Win=2622 Len=0"
"8","9.216463","46.229.224.44","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  39920 [ACK] Seq=1 Ack=2 Win=1449 Len=0"
"9","9.331456","10.152.152.11","66.220.158.19","TLSv1.1","923","Application Data"
"10","9.331994","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=1 Ack=870 Win=2640 Len=0"
"11","9.332568","10.152.152.11","66.220.158.19","TLSv1.1","123","Application Data"
"12","9.332926","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=1 Ack=939 Win=2640 Len=0"
"13","9.947752","10.152.152.11","66.220.158.19","TLSv1.1","667","Application Data"
"14","9.948244","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=1 Ack=1552 Win=2640 Len=0"
"15","10.027969","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"16","10.027996","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=70 Win=5547 Len=0"
"17","10.184118","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"18","10.184160","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=139 Win=5547 Len=0"
"19","10.200910","66.220.158.19","10.152.152.11","TCP","1050","443  >  33650 [PSH, ACK] Seq=139 Ack=1552 Win=2640 Len=996 [TCP segment of a reassembled PDU]"
"20","10.200936","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=1135 Win=5547 Len=0"
"21","10.249141","66.220.158.19","10.152.152.11","TLSv1.1","1514","Application Data [TCP segment of a reassembled PDU]"
"22","10.249168","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=2595 Win=5547 Len=0"
"23","10.249255","66.220.158.19","10.152.152.11","TLSv1.1","1514","Application Data [TCP segment of a reassembled PDU]"
"24","10.249272","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=4055 Win=5547 Len=0"
"25","10.249298","66.220.158.19","10.152.152.11","TLSv1.1","142","Application Data, Application Data"
"26","10.249309","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=1552 Ack=4143 Win=5546 Len=0"
"27","10.315378","10.152.152.11","66.220.158.19","TLSv1.1","603","Application Data"
"28","10.315677","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=4143 Ack=2101 Win=2640 Len=0"
"29","10.315819","10.152.152.11","66.220.158.19","TCP","1514","33650  >  443 [ACK] Seq=2101 Ack=4143 Win=5547 Len=1460 [TCP segment of a reassembled PDU]"
"30","10.315910","10.152.152.11","66.220.158.19","TLSv1.1","167","Application Data"
"31","10.316046","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=4143 Ack=3561 Win=2640 Len=0"
"32","10.316053","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=4143 Ack=3674 Win=2639 Len=0"
"33","10.508795","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"34","10.508883","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=4212 Win=5547 Len=0"
"35","10.704693","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=4212 Ack=3674 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"36","10.704792","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=4710 Win=5547 Len=0"
"37","10.856151","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=4710 Ack=3674 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"38","10.856190","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=5208 Win=5547 Len=0"
"39","10.877304","66.220.158.19","10.152.152.11","TLSv1.1","1514","Application Data [TCP segment of a reassembled PDU]"
"40","10.877331","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=6668 Win=5547 Len=0"
"41","10.877419","66.220.158.19","10.152.152.11","TLSv1.1","1514","Application Data [TCP segment of a reassembled PDU]"
"42","10.877437","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=8128 Win=5547 Len=0"
"43","10.877465","66.220.158.19","10.152.152.11","TLSv1.1","206","Application Data, Application Data"
"44","10.877477","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=8280 Win=5538 Len=0"
"45","10.920418","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"46","10.920446","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=8349 Win=5547 Len=0"
"47","11.082176","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"48","11.082202","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=8418 Win=5547 Len=0"
"49","11.157619","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=8418 Ack=3674 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"50","11.157645","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=8916 Win=5547 Len=0"
"51","11.254650","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=8916 Ack=3674 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"52","11.254678","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=9414 Win=5547 Len=0"
"53","11.260367","66.220.158.19","10.152.152.11","TLSv1.1","945","Application Data, Application Data, Application Data"
"54","11.260392","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=3674 Ack=10305 Win=5547 Len=0"
"55","15.531179","10.152.152.11","66.220.158.19","TLSv1.1","555","Application Data"
"56","15.531464","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=10305 Ack=4175 Win=2640 Len=0"
"57","15.531540","10.152.152.11","66.220.158.19","TLSv1.1","1195","Application Data"
"58","15.531969","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=10305 Ack=5316 Win=2640 Len=0"
"59","16.053195","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"60","16.053285","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5316 Ack=10374 Win=5547 Len=0"
"61","16.221338","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=10374 Ack=5316 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"62","16.221369","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5316 Ack=10872 Win=5547 Len=0"
"63","16.224670","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=10872 Ack=5316 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"64","16.224686","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5316 Ack=11370 Win=5547 Len=0"
"65","16.286281","66.220.158.19","10.152.152.11","TLSv1.1","945","Application Data, Application Data, Application Data"
"66","16.286319","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5316 Ack=12261 Win=5547 Len=0"
"67","18.496795","10.152.152.11","66.220.158.19","TLSv1.1","363","Application Data"
"68","18.497353","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=12261 Ack=5625 Win=2640 Len=0"
"69","18.497953","10.152.152.11","66.220.158.19","TLSv1.1","395","Application Data"
"70","18.498466","66.220.158.19","10.152.152.11","TCP","60","443  >  33650 [ACK] Seq=12261 Ack=5966 Win=2640 Len=0"
"71","18.886769","66.220.158.19","10.152.152.11","TLSv1.1","123","Application Data"
"72","18.886859","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5966 Ack=12330 Win=5547 Len=0"
"73","18.952352","31.13.93.3","10.152.152.11","TLSv1.1","651","Application Data"
"74","18.966569","10.152.152.11","31.13.93.3","TLSv1.1","1211","Application Data"
"75","18.966941","31.13.93.3","10.152.152.11","TCP","60","443  >  34010 [ACK] Seq=598 Ack=1158 Win=2640 Len=0"
"76","19.182249","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=12330 Ack=5966 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"77","19.182329","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5966 Ack=12828 Win=5547 Len=0"
"78","19.354801","66.220.158.19","10.152.152.11","TCP","552","443  >  33650 [PSH, ACK] Seq=12828 Ack=5966 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"79","19.354838","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5966 Ack=13326 Win=5547 Len=0"
"80","19.420182","66.220.158.19","10.152.152.11","TLSv1.1","700","Application Data, Application Data"
"81","19.420201","10.152.152.11","66.220.158.19","TCP","54","33650  >  443 [ACK] Seq=5966 Ack=13972 Win=5547 Len=0"
"82","26.879943","10.152.152.11","173.194.204.188","TCP","54","34927  >  5228 [ACK] Seq=1 Ack=1 Win=2142 Len=0"
"83","26.880481","173.194.204.188","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 5228  >  34927 [ACK] Seq=1 Ack=2 Win=1248 Len=0"
