"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2.16.162.49","10.152.152.11","TLSv1.1","107","Encrypted Alert"
"2","0.000073","10.152.152.11","2.16.162.49","TCP","54","56691  >  443 [ACK] Seq=1 Ack=54 Win=2640 Len=0"
"3","0.000196","2.16.162.49","10.152.152.11","TCP","60","443  >  56691 [FIN, ACK] Seq=54 Ack=1 Win=1583 Len=0"
"4","0.036792","10.152.152.11","2.16.162.49","TCP","54","56691  >  443 [ACK] Seq=1 Ack=55 Win=2640 Len=0"
"5","5.868681","10.152.152.11","31.13.90.2","TLSv1.1","619","Application Data"
"6","5.868831","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=1 Ack=566 Win=2640 Len=0"
"7","5.869045","10.152.152.11","31.13.90.2","TLSv1.1","123","Application Data"
"8","5.869249","10.152.152.11","31.13.90.2","TLSv1.1","1467","Application Data"
"9","5.869679","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=1 Ack=635 Win=2640 Len=0"
"10","5.869725","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=1 Ack=2048 Win=2639 Len=0"
"11","6.090197","31.13.90.2","10.152.152.11","TLSv1.1","123","Application Data"
"12","6.090236","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=2048 Ack=70 Win=9329 Len=0"
"13","6.282359","31.13.90.2","10.152.152.11","TLSv1.1","123","Application Data"
"14","6.282378","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=2048 Ack=139 Win=9329 Len=0"
"15","6.374097","31.13.90.2","10.152.152.11","TCP","1514","443  >  59684 [ACK] Seq=139 Ack=2048 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"16","6.374116","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=2048 Ack=1599 Win=9329 Len=0"
"17","6.374485","31.13.90.2","10.152.152.11","TLSv1.1","620","Application Data, Application Data"
"18","6.374493","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=2048 Ack=2165 Win=9329 Len=0"
"19","6.485684","31.13.90.2","10.152.152.11","TLSv1.1","123","Application Data"
"20","6.485703","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=2048 Ack=2234 Win=9329 Len=0"
"21","6.646468","10.152.152.11","2.16.162.49","TCP","54","56691  >  443 [FIN, ACK] Seq=1 Ack=55 Win=2640 Len=0"
"22","6.647653","2.16.162.49","10.152.152.11","TCP","60","443  >  56691 [ACK] Seq=55 Ack=2 Win=1583 Len=0"
"23","9.960483","10.152.152.11","31.13.90.2","TLSv1.1","587","Application Data"
"24","9.960733","10.152.152.11","31.13.90.2","TLSv1.1","331","Application Data"
"25","9.961497","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=2581 Win=2640 Len=0"
"26","9.961530","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=2858 Win=2640 Len=0"
"27","9.965063","10.152.152.11","31.13.90.2","TLSv1.1","411","Application Data"
"28","9.966130","10.152.152.11","31.13.90.2","TLSv1.1","523","Application Data"
"29","9.966946","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=3215 Win=2640 Len=0"
"30","9.966956","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=3684 Win=2611 Len=0"
"31","9.974577","10.152.152.11","31.13.90.2","TLSv1.1","363","Application Data"
"32","9.974886","10.152.152.11","31.13.90.2","TLSv1.1","955","Application Data"
"33","9.975333","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=3993 Win=2640 Len=0"
"34","9.975344","31.13.90.2","10.152.152.11","TCP","60","443  >  59684 [ACK] Seq=2234 Ack=4894 Win=2591 Len=0"
"35","10.248535","31.13.90.2","10.152.152.11","TLSv1.1","192","Application Data, Application Data"
"36","10.248562","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=4894 Ack=2372 Win=9329 Len=0"
"37","10.253467","31.13.90.2","10.152.152.11","TLSv1.1","123","Application Data"
"38","10.253559","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=4894 Ack=2441 Win=9329 Len=0"
"39","10.261423","31.13.90.2","10.152.152.11","TCP","1514","443  >  59684 [ACK] Seq=2441 Ack=4894 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"40","10.261431","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=4894 Ack=3901 Win=9329 Len=0"
"41","10.261467","31.13.90.2","10.152.152.11","TLSv1.1","694","Application Data, Application Data, Application Data, Application Data"
"42","10.261474","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=4894 Ack=4541 Win=9329 Len=0"
"43","10.296007","31.13.90.2","10.152.152.11","TCP","1514","443  >  59684 [ACK] Seq=4541 Ack=4894 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"44","10.296047","10.152.152.11","31.13.90.2","TCP","54","59684  >  443 [ACK] Seq=4894 Ack=6001 Win=9329 Len=0"
