"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","173.194.123.41","TCP","54","55665  >  443 [ACK] Seq=1 Ack=1 Win=5665 Len=0"
"2","0.000436","173.194.123.41","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  55665 [ACK] Seq=1 Ack=2 Win=2640 Len=0"
"3","0.966283","173.194.123.32","10.152.152.11","TLSv1.1","208","Application Data, Application Data"
"4","0.967911","10.152.152.11","173.194.123.32","TCP","54","60022  >  443 [FIN, ACK] Seq=1 Ack=155 Win=2640 Len=0"
"5","0.968599","173.194.123.32","10.152.152.11","TCP","60","443  >  60022 [FIN, ACK] Seq=155 Ack=2 Win=1319 Len=0"
"6","0.968635","10.152.152.11","173.194.123.32","TCP","54","60022  >  443 [ACK] Seq=2 Ack=156 Win=2640 Len=0"
"7","1.280026","10.152.152.11","74.125.141.105","TCP","54","49831  >  443 [ACK] Seq=1 Ack=1 Win=2440 Len=0"
"8","1.280412","74.125.141.105","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  49831 [ACK] Seq=1 Ack=2 Win=1467 Len=0"
"9","2.175988","10.152.152.11","173.194.123.45","TCP","54","55230  >  443 [ACK] Seq=1 Ack=1 Win=1710 Len=0"
"10","2.176455","173.194.123.45","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  55230 [ACK] Seq=1 Ack=2 Win=1118 Len=0"
"11","2.304009","10.152.152.11","216.58.219.237","TCP","54","58019  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"12","2.304498","216.58.219.237","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  58019 [ACK] Seq=1 Ack=2 Win=1650 Len=0"
"13","2.395346","216.58.219.227","10.152.152.11","TLSv1.1","208","Application Data, Application Data"
"14","2.396814","10.152.152.11","216.58.219.227","TCP","54","40425  >  443 [FIN, ACK] Seq=1 Ack=155 Win=2440 Len=0"
"15","2.397398","216.58.219.227","10.152.152.11","TCP","60","443  >  40425 [FIN, ACK] Seq=155 Ack=2 Win=1229 Len=0"
"16","2.397431","10.152.152.11","216.58.219.227","TCP","54","40425  >  443 [ACK] Seq=2 Ack=156 Win=2440 Len=0"
"17","2.581779","216.58.219.227","10.152.152.11","TLSv1.1","208","Application Data, Application Data"
"18","2.583367","10.152.152.11","216.58.219.227","TCP","54","40427  >  443 [FIN, ACK] Seq=1 Ack=155 Win=2622 Len=0"
"19","2.584743","216.58.219.227","10.152.152.11","TCP","60","443  >  40427 [FIN, ACK] Seq=155 Ack=2 Win=1229 Len=0"
"20","2.584780","10.152.152.11","216.58.219.227","TCP","54","40427  >  443 [ACK] Seq=2 Ack=156 Win=2622 Len=0"
"21","2.687969","10.152.152.11","173.194.123.32","TCP","54","60002  >  443 [ACK] Seq=1 Ack=1 Win=2257 Len=0"
"22","2.688356","173.194.123.32","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  60002 [ACK] Seq=1 Ack=2 Win=1248 Len=0"
"23","3.840802","10.152.152.11","173.194.123.57","TCP","54","46654  >  443 [ACK] Seq=1 Ack=1 Win=1825 Len=0"
"24","3.841277","173.194.123.57","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  46654 [ACK] Seq=1 Ack=2 Win=1164 Len=0"
"25","7.071951","10.152.152.11","173.194.123.46","TCP","54","56383  >  443 [ACK] Seq=1 Ack=1 Win=2440 Len=0"
"26","7.072473","173.194.123.46","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  56383 [ACK] Seq=1 Ack=2 Win=3091 Len=0"
"27","10.004405","10.152.152.11","173.194.123.46","TCP","1514","56367  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"28","10.004501","10.152.152.11","173.194.123.46","TLSv1.1","1159","Application Data"
"29","10.004796","173.194.123.46","10.152.152.11","TCP","60","443  >  56367 [ACK] Seq=1 Ack=1461 Win=4601 Len=0"
"30","10.004857","173.194.123.46","10.152.152.11","TCP","60","443  >  56367 [ACK] Seq=1 Ack=2566 Win=4601 Len=0"
"31","10.005140","10.152.152.11","173.194.123.46","TLSv1.1","123","Application Data"
"32","10.005377","173.194.123.46","10.152.152.11","TCP","60","443  >  56367 [ACK] Seq=1 Ack=2635 Win=4601 Len=0"
"33","10.005475","10.152.152.11","173.194.123.46","TLSv1.1","251","Application Data"
"34","10.005721","173.194.123.46","10.152.152.11","TCP","60","443  >  56367 [ACK] Seq=1 Ack=2832 Win=4601 Len=0"
"35","10.459946","173.194.123.46","10.152.152.11","TLSv1.1","123","Application Data"
"36","10.499980","10.152.152.11","173.194.123.46","TCP","54","56367  >  443 [ACK] Seq=2832 Ack=70 Win=2640 Len=0"
"37","10.528872","173.194.123.47","10.152.152.11","TLSv1.1","208","Application Data, Application Data"
"38","10.530557","10.152.152.11","173.194.123.47","TCP","54","57496  >  443 [FIN, ACK] Seq=1 Ack=155 Win=2640 Len=0"
"39","10.531264","173.194.123.47","10.152.152.11","TCP","60","443  >  57496 [FIN, ACK] Seq=155 Ack=2 Win=1516 Len=0"
"40","10.531379","10.152.152.11","173.194.123.47","TCP","54","57496  >  443 [ACK] Seq=2 Ack=156 Win=2640 Len=0"
"41","10.565281","173.194.123.46","10.152.152.11","TLSv1.1","373","Application Data, Application Data, Application Data"
"42","10.565313","10.152.152.11","173.194.123.46","TCP","54","56367  >  443 [ACK] Seq=2832 Ack=389 Win=2640 Len=0"
"43","10.568851","10.152.152.11","173.194.123.46","TLSv1.1","123","Application Data"
"44","10.569274","173.194.123.46","10.152.152.11","TCP","60","443  >  56367 [ACK] Seq=389 Ack=2901 Win=4601 Len=0"
"45","10.593746","74.125.22.189","10.152.152.11","TLSv1.1","592","Application Data, Application Data"
"46","10.593832","10.152.152.11","74.125.22.189","TCP","54","58421  >  443 [ACK] Seq=1 Ack=539 Win=2640 Len=0"
"47","10.596341","10.152.152.11","74.125.22.189","TLSv1.1","123","Application Data"
"48","10.596773","74.125.22.189","10.152.152.11","TCP","60","443  >  58421 [ACK] Seq=539 Ack=70 Win=2640 Len=0"
"49","10.609975","10.152.152.11","74.125.22.189","TCP","1514","58421  >  443 [ACK] Seq=70 Ack=539 Win=2640 Len=1460 [TCP segment of a reassembled PDU]"
"50","10.610088","10.152.152.11","74.125.22.189","TLSv1.1","711","Application Data"
"51","10.610385","74.125.22.189","10.152.152.11","TCP","60","443  >  58421 [ACK] Seq=539 Ack=1530 Win=2640 Len=0"
"52","10.610400","74.125.22.189","10.152.152.11","TCP","60","443  >  58421 [ACK] Seq=539 Ack=2187 Win=2599 Len=0"
"53","10.859957","10.152.152.11","173.194.123.54","TCP","1514","33567  >  443 [ACK] Seq=1 Ack=1 Win=22006 Len=1460 [TCP segment of a reassembled PDU]"
"54","10.860015","10.152.152.11","173.194.123.54","TCP","1514","33567  >  443 [ACK] Seq=1461 Ack=1 Win=22006 Len=1460 [TCP segment of a reassembled PDU]"
"55","10.860026","10.152.152.11","173.194.123.54","TLSv1.1","195","Application Data"
"56","10.860349","173.194.123.54","10.152.152.11","TCP","60","443  >  33567 [ACK] Seq=1 Ack=1461 Win=5622 Len=0"
"57","10.860364","173.194.123.54","10.152.152.11","TCP","60","443  >  33567 [ACK] Seq=1 Ack=2921 Win=5622 Len=0"
"58","10.860370","173.194.123.54","10.152.152.11","TCP","60","443  >  33567 [ACK] Seq=1 Ack=3062 Win=5622 Len=0"
"59","10.860654","10.152.152.11","173.194.123.54","TLSv1.1","123","Application Data"
"60","10.860773","173.194.123.54","10.152.152.11","TCP","60","443  >  33567 [ACK] Seq=1 Ack=3131 Win=5622 Len=0"
"61","11.008026","10.152.152.11","216.58.219.237","TCP","54","58032  >  443 [ACK] Seq=1 Ack=1 Win=4647 Len=0"
"62","11.008201","10.152.152.11","173.194.123.33","TCP","54","46986  >  443 [ACK] Seq=1 Ack=1 Win=5217 Len=0"
"63","11.008373","216.58.219.237","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  58032 [ACK] Seq=1 Ack=2 Win=2640 Len=0"
"64","11.008385","173.194.123.33","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  46986 [ACK] Seq=1 Ack=2 Win=2640 Len=0"
"65","11.057692","74.125.22.189","10.152.152.11","TLSv1.1","224","Application Data, Application Data"
"66","11.095983","10.152.152.11","74.125.22.189","TCP","54","58421  >  443 [ACK] Seq=2187 Ack=709 Win=2640 Len=0"
"67","11.344516","173.194.123.54","10.152.152.11","TLSv1.1","123","Application Data"
"68","11.383966","10.152.152.11","173.194.123.54","TCP","54","33567  >  443 [ACK] Seq=3131 Ack=70 Win=22006 Len=0"
"69","11.450645","173.194.123.54","10.152.152.11","TLSv1.1","552","Application Data"
"70","11.450685","10.152.152.11","173.194.123.54","TCP","54","33567  >  443 [ACK] Seq=3131 Ack=568 Win=22006 Len=0"
"71","11.515049","173.194.123.54","10.152.152.11","TLSv1.1","563","Application Data, Application Data"
"72","11.515075","10.152.152.11","173.194.123.54","TCP","54","33567  >  443 [ACK] Seq=3131 Ack=1077 Win=22006 Len=0"
"73","11.516865","10.152.152.11","173.194.123.54","TLSv1.1","123","Application Data"
"74","11.517308","173.194.123.54","10.152.152.11","TCP","60","443  >  33567 [ACK] Seq=1077 Ack=3200 Win=5622 Len=0"
"75","13.055989","10.152.152.11","173.194.123.43","TCP","54","47894  >  443 [ACK] Seq=1 Ack=1 Win=2640 Len=0"
"76","13.056499","173.194.123.43","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  47894 [ACK] Seq=1 Ack=2 Win=1527 Len=0"
"77","14.950477","74.125.141.105","10.152.152.11","TLSv1.1","208","[TCP ACKed unseen segment] , Application Data, Application Data"
"78","14.951559","10.152.152.11","74.125.141.105","TCP","54","[TCP Previous segment not captured] 49831  >  443 [FIN, ACK] Seq=2 Ack=155 Win=2622 Len=0"
"79","14.952103","74.125.141.105","10.152.152.11","TCP","60","[TCP ACKed unseen segment] 443  >  49831 [FIN, ACK] Seq=155 Ack=3 Win=1467 Len=0"
