"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","157.56.126.111","10.152.152.11","TLSv1","507","Application Data"
"2","0.000069","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=1 Ack=454 Win=4100 Len=0"
"3","6.689434","157.56.126.111","10.152.152.11","TLSv1","507","Application Data"
"4","6.689492","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=1 Ack=907 Win=4133 Len=0"
"5","9.193540","10.152.152.11","157.56.126.111","TLSv1","699","Application Data"
"6","9.194610","157.56.126.111","10.152.152.11","TCP","60","443  >  53178 [ACK] Seq=907 Ack=646 Win=2640 Len=0"
"7","9.553096","157.56.126.111","10.152.152.11","TCP","552","443  >  53178 [PSH, ACK] Seq=907 Ack=646 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"8","9.553120","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=1405 Win=4133 Len=0"
"9","9.749605","157.56.126.111","10.152.152.11","TLSv1","574","Application Data, Application Data"
"10","9.749626","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=1925 Win=4133 Len=0"
"11","12.213717","157.56.126.111","10.152.152.11","TLSv1","507","Application Data"
"12","12.213820","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=2378 Win=4133 Len=0"
"13","14.202344","PcsCompu_11:4d:b1","PcsCompu_78:57:ca","ARP","42","Who has 10.152.152.10? Tell 10.152.152.11"
"14","14.202754","PcsCompu_78:57:ca","PcsCompu_11:4d:b1","ARP","60","10.152.152.10 is at 08:00:27:78:57:ca"
"15","21.135120","157.56.126.111","10.152.152.11","TLSv1","507","Application Data"
"16","21.135191","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=2831 Win=4133 Len=0"
"17","25.862956","157.56.126.111","10.152.152.11","TCP","552","443  >  53178 [PSH, ACK] Seq=2831 Ack=646 Win=2640 Len=498 [TCP segment of a reassembled PDU]"
"18","25.862976","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=3329 Win=4133 Len=0"
"19","26.054377","157.56.126.111","10.152.152.11","TLSv1","585","Application Data"
"20","26.054399","10.152.152.11","157.56.126.111","TCP","54","53178  >  443 [ACK] Seq=646 Ack=3860 Win=4133 Len=0"
"21","26.054899","10.152.152.11","157.56.126.111","TLSv1","555","Application Data"
"22","26.055281","157.56.126.111","10.152.152.11","TCP","60","443  >  53178 [ACK] Seq=3860 Ack=1147 Win=2640 Len=0"
"23","28.136537","157.55.130.151","10.152.152.11","TCP","60","40015  >  32826 [PSH, ACK] Seq=1 Ack=1 Win=2640 Len=4"
"24","28.136593","10.152.152.11","157.55.130.151","TCP","54","32826  >  40015 [ACK] Seq=1 Ack=5 Win=3735 Len=0"
"25","28.326458","157.55.130.151","10.152.152.11","TCP","260","40015  >  32826 [PSH, ACK] Seq=5 Ack=1 Win=2640 Len=206"
"26","28.326477","10.152.152.11","157.55.130.151","TCP","54","32826  >  40015 [ACK] Seq=1 Ack=211 Win=3735 Len=0"
"27","28.326972","10.152.152.11","157.55.130.151","TCP","64","32826  >  40015 [PSH, ACK] Seq=1 Ack=211 Win=3735 Len=10"
"28","28.327552","157.55.130.151","10.152.152.11","TCP","60","40015  >  32826 [ACK] Seq=211 Ack=11 Win=2640 Len=0"
"29","28.327931","10.152.152.11","5.178.135.69","TCP","66","60705  >  53262 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"30","28.328523","5.178.135.69","10.152.152.11","TCP","66","53262  >  60705 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=16"
"31","28.328537","10.152.152.11","5.178.135.69","TCP","54","60705  >  53262 [ACK] Seq=1 Ack=1 Win=14608 Len=0"
"32","28.329596","10.152.152.11","5.178.135.69","TCP","151","60705  >  53262 [PSH, ACK] Seq=1 Ack=1 Win=14608 Len=97"
"33","28.330044","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=1 Ack=98 Win=14608 Len=0"
"34","28.887494","5.178.135.69","10.152.152.11","TCP","139","53262  >  60705 [PSH, ACK] Seq=1 Ack=98 Win=14608 Len=85"
"35","28.887516","10.152.152.11","5.178.135.69","TCP","54","60705  >  53262 [ACK] Seq=98 Ack=86 Win=14608 Len=0"
"36","28.888347","10.152.152.11","5.178.135.69","TCP","62","60705  >  53262 [PSH, ACK] Seq=98 Ack=86 Win=14608 Len=8"
"37","28.888838","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=86 Ack=106 Win=14608 Len=0"
"38","28.888847","10.152.152.11","5.178.135.69","TCP","94","60705  >  53262 [PSH, ACK] Seq=106 Ack=86 Win=14608 Len=40"
"39","28.889224","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=86 Ack=146 Win=14608 Len=0"
"40","29.190466","5.178.135.69","10.152.152.11","TCP","80","53262  >  60705 [PSH, ACK] Seq=86 Ack=146 Win=14608 Len=26"
"41","29.190739","10.152.152.11","5.178.135.69","TCP","70","60705  >  53262 [PSH, ACK] Seq=146 Ack=112 Win=14608 Len=16"
"42","29.191464","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=112 Ack=162 Win=14608 Len=0"
"43","29.551192","5.178.135.69","10.152.152.11","TCP","68","53262  >  60705 [PSH, ACK] Seq=112 Ack=162 Win=14608 Len=14"
"44","29.554918","10.152.152.11","5.178.135.69","TCP","735","60705  >  53262 [PSH, ACK] Seq=162 Ack=126 Win=14608 Len=681"
"45","29.555528","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=126 Ack=843 Win=15968 Len=0"
"46","29.555683","10.152.152.11","157.55.130.151","TCP","84","32826  >  40015 [PSH, ACK] Seq=11 Ack=211 Win=3735 Len=30"
"47","29.556092","157.55.130.151","10.152.152.11","TCP","60","40015  >  32826 [ACK] Seq=211 Ack=41 Win=2640 Len=0"
"48","29.556100","10.152.152.11","157.55.130.151","TCP","114","32826  >  40015 [PSH, ACK] Seq=41 Ack=211 Win=3735 Len=60"
"49","29.556699","157.55.130.151","10.152.152.11","TCP","60","40015  >  32826 [ACK] Seq=211 Ack=101 Win=2640 Len=0"
"50","29.700575","5.178.135.69","10.152.152.11","TCP","68","53262  >  60705 [PSH, ACK] Seq=126 Ack=843 Win=15968 Len=14"
"51","29.700701","10.152.152.11","5.178.135.69","TCP","58","60705  >  53262 [PSH, ACK] Seq=843 Ack=140 Win=14608 Len=4"
"52","29.700903","5.178.135.69","10.152.152.11","TCP","60","53262  >  60705 [ACK] Seq=140 Ack=847 Win=15968 Len=0"
