"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"2","0.002060","64.233.167.16","10.152.152.11","TCP","60","465  >  39233 [ACK] Seq=1 Ack=1461 Win=4204 Len=0"
"3","0.002077","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"4","0.002094","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"5","0.002111","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"6","0.002128","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"7","0.002146","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"8","0.002163","10.152.152.11","64.233.167.16","TCP","1514","[TCP segment of a reassembled PDU]"
"9","0.002181","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"10","0.002197","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"11","0.002213","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=13141 Ack=1 Win=1047 Len=1460"
"12","0.002230","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"13","0.002249","10.152.152.11","64.233.167.16","TCP","1514","[TCP segment of a reassembled PDU]"
"14","0.002267","10.152.152.11","64.233.167.16","TLSv1.2","1514","Ignored Unknown Record"
"15","0.002283","10.152.152.11","64.233.167.16","TLSv1.2","1172","Ignored Unknown Record"
"16","0.002486","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=20099 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"17","0.002576","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=21559 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.002656","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=23019 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.002743","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=24479 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.002821","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=25939 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.004583","64.233.167.16","10.152.152.11","TCP","60","465  >  39233 [ACK] Seq=1 Ack=27399 Win=3784 Len=0"
"22","0.004620","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=27399 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"23","0.004637","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=28859 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.004654","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=30319 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"25","0.004673","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=31779 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"26","0.004689","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=33239 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"27","0.004708","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=34699 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"28","0.004753","10.152.152.11","64.233.167.16","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"29","0.004769","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=37619 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"30","0.004786","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=39079 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"31","0.004805","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=40539 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.004821","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=41999 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"33","0.004838","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=43459 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"34","0.004879","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=44919 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"35","0.004898","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=46379 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"36","0.004916","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [PSH, ACK] Seq=47839 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"37","0.005031","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=49299 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"38","0.005072","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=50759 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"39","0.005109","10.152.152.11","64.233.167.16","TLSv1.2","758","Application Data"
"40","0.008147","64.233.167.16","10.152.152.11","TCP","60","465  >  39233 [ACK] Seq=1 Ack=52923 Win=3294 Len=0"
"41","0.008192","10.152.152.11","64.233.167.16","TLSv1.2","1514","Application Data"
"42","0.008212","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=54383 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"43","0.008233","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=55843 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"44","0.008250","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=57303 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"45","0.008268","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=58763 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"46","0.008333","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=60223 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"47","0.008352","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=61683 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"48","0.008369","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=63143 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"49","0.008412","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=64603 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"50","0.008433","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=66063 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.008451","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=67523 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.008471","10.152.152.11","64.233.167.16","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"53","0.008513","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=70443 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"54","0.008532","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=71903 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"55","0.008548","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=73363 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"56","0.008574","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=74823 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"57","0.008698","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [PSH, ACK] Seq=76283 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"58","0.008760","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=77743 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"59","0.010937","64.233.167.16","10.152.152.11","TCP","60","465  >  39233 [ACK] Seq=1 Ack=79203 Win=2874 Len=0"
"60","0.010956","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=79203 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"61","0.010975","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=80663 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"62","0.010995","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=82123 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"63","0.011014","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=83583 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"64","0.011030","10.152.152.11","64.233.167.16","TLSv1.2","1514","Application Data, Application Data"
"65","0.011046","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=86503 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"66","0.011064","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=87963 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"67","0.011082","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=89423 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"68","0.011100","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=90883 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"69","0.011118","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=92343 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"70","0.011136","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=93803 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"71","0.011152","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=95263 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"72","0.011170","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=96723 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"73","0.011187","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=98183 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"74","0.011203","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=99643 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"75","0.011220","10.152.152.11","64.233.167.16","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"76","0.011319","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [PSH, ACK] Seq=102563 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"77","0.011378","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=104023 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"78","0.011435","10.152.152.11","64.233.167.16","TCP","1514","39233  >  465 [ACK] Seq=105483 Ack=1 Win=1047 Len=1460 [TCP segment of a reassembled PDU]"
"79","0.050872","64.233.167.16","10.152.152.11","TCP","60","465  >  39233 [ACK] Seq=1 Ack=106943 Win=1544 Len=0"
